,uuid,stack,round
0,low-iq3,9980,1
1,low-iq3,9940,2
2,low-iq3,9900,3
3,low-iq3,9860,4
4,low-iq3,9840,5
5,low-iq3,9960,6
6,low-iq3,10080,7
7,low-iq3,10040,8
8,low-iq3,10000,9
9,low-iq3,10000,10
10,low-iq3,9960,11
11,low-iq3,9920,12
12,low-iq3,9900,13
13,low-iq3,9900,14
14,low-iq3,9860,15
15,low-iq3,9820,16
16,low-iq3,9780,17
17,low-iq3,9740,18
18,low-iq3,9700,19
19,low-iq3,9660,20
20,low-iq3,9780,21
21,low-iq3,9780,22
22,low-iq3,9740,23
23,low-iq3,9860,24
24,low-iq3,9840,25
25,low-iq3,9800,26
26,low-iq3,9860,27
27,low-iq3,9820,28
28,low-iq3,9800,29
29,low-iq3,9900,30
30,low-iq3,9860,31
31,low-iq3,9820,32
32,low-iq3,9780,33
33,low-iq3,9860,34
34,low-iq3,9820,35
35,low-iq3,9880,36
36,low-iq3,9860,37
37,low-iq3,9820,38
38,low-iq3,9780,39
39,low-iq3,9740,40
40,low-iq3,9720,41
41,low-iq3,9840,42
42,low-iq3,9800,43
43,low-iq3,9760,44
44,low-iq3,9880,45
45,low-iq3,10000,46
46,low-iq3,9960,47
47,low-iq3,9920,48
48,low-iq3,9880,49
49,low-iq3,9880,50
50,low-iq3,9880,51
51,low-iq3,9840,52
52,low-iq3,9960,53
53,low-iq3,9920,54
54,low-iq3,9920,55
55,low-iq3,9880,56
56,low-iq3,9840,57
57,low-iq3,9800,58
58,low-iq3,9800,59
59,low-iq3,9920,60
60,low-iq3,9900,61
61,low-iq3,9860,62
62,low-iq3,9960,63
63,low-iq3,9920,64
64,low-iq3,10040,65
65,low-iq3,10140,66
66,low-iq3,10260,67
67,low-iq3,10340,68
68,low-iq3,10460,69
69,low-iq3,10420,70
70,low-iq3,10540,71
71,low-iq3,10620,72
72,low-iq3,10580,73
73,low-iq3,10580,74
74,low-iq3,10540,75
75,low-iq3,10500,76
76,low-iq3,10460,77
77,low-iq3,10420,78
