,uuid,stack,round
0,low-iq2,9960,1
1,low-iq2,10000,2
2,low-iq2,10000,3
3,low-iq2,10000,4
4,low-iq2,9960,5
5,low-iq2,9940,6
6,low-iq2,9940,7
7,low-iq2,9900,8
8,low-iq2,9860,9
9,low-iq2,9840,10
10,low-iq2,9840,11
11,low-iq2,9840,12
12,low-iq2,9800,13
13,low-iq2,9780,14
14,low-iq2,9860,15
15,low-iq2,9820,16
16,low-iq2,9780,17
17,low-iq2,9760,18
18,low-iq2,9840,19
19,low-iq2,9800,20
20,low-iq2,9820,21
21,low-iq2,9800,22
22,low-iq2,9800,23
23,low-iq2,9800,24
24,low-iq2,9760,25
25,low-iq2,9740,26
26,low-iq2,9740,27
27,low-iq2,9740,28
28,low-iq2,9700,29
29,low-iq2,9680,30
30,low-iq2,9680,31
31,low-iq2,9680,32
32,low-iq2,9640,33
33,low-iq2,9620,34
34,low-iq2,9620,35
35,low-iq2,9620,36
36,low-iq2,9580,37
37,low-iq2,9560,38
38,low-iq2,9560,39
39,low-iq2,9560,40
40,low-iq2,9520,41
41,low-iq2,9480,42
42,low-iq2,9480,43
43,low-iq2,9480,44
44,low-iq2,9440,45
45,low-iq2,9400,46
46,low-iq2,9400,47
47,low-iq2,9400,48
48,low-iq2,9420,49
49,low-iq2,9400,50
50,low-iq2,9360,51
51,low-iq2,9360,52
52,low-iq2,9320,53
53,low-iq2,9300,54
54,low-iq2,9300,55
55,low-iq2,9300,56
56,low-iq2,9260,57
57,low-iq2,9240,58
58,low-iq2,9240,59
59,low-iq2,9240,60
60,low-iq2,9200,61
61,low-iq2,9180,62
62,low-iq2,9180,63
63,low-iq2,9140,64
64,low-iq2,9100,65
65,low-iq2,9140,66
66,low-iq2,9140,67
67,low-iq2,9100,68
68,low-iq2,9060,69
69,low-iq2,9040,70
70,low-iq2,9040,71
71,low-iq2,9100,72
72,low-iq2,9060,73
73,low-iq2,9040,74
74,low-iq2,9040,75
75,low-iq2,9040,76
76,low-iq2,9000,77
77,low-iq2,8980,78
78,low-iq2,8980,79
79,low-iq2,8980,80
80,low-iq2,8940,81
81,low-iq2,8920,82
82,low-iq2,8920,83
83,low-iq2,8920,84
84,low-iq2,8880,85
85,low-iq2,8860,86
86,low-iq2,8820,87
87,low-iq2,8820,88
88,low-iq2,8780,89
89,low-iq2,8760,90
90,low-iq2,8760,91
91,low-iq2,8760,92
92,low-iq2,8720,93
93,low-iq2,8680,94
94,low-iq2,8680,95
95,low-iq2,8740,96
96,low-iq2,8700,97
97,low-iq2,8660,98
98,low-iq2,8660,99
99,low-iq2,8660,100
100,low-iq2,8620,101
101,low-iq2,8600,102
102,low-iq2,8600,103
103,low-iq2,8560,104
104,low-iq2,8520,105
105,low-iq2,8500,106
106,low-iq2,8560,107
107,low-iq2,8560,108
108,low-iq2,8520,109
109,low-iq2,8500,110
110,low-iq2,8500,111
111,low-iq2,8500,112
112,low-iq2,8460,113
113,low-iq2,8440,114
114,low-iq2,8440,115
115,low-iq2,8440,116
116,low-iq2,8400,117
117,low-iq2,8380,118
118,low-iq2,8380,119
119,low-iq2,8480,120
120,low-iq2,8440,121
121,low-iq2,8420,122
122,low-iq2,8420,123
123,low-iq2,8500,124
124,low-iq2,8460,125
125,low-iq2,8440,126
126,low-iq2,8440,127
