,uuid,stack,round
0,high-iq,9960,1
1,high-iq,9960,2
2,high-iq,10000,3
3,high-iq,9960,4
4,high-iq,9960,5
5,high-iq,9960,6
6,high-iq,9920,7
7,high-iq,9900,8
8,high-iq,9980,9
9,high-iq,10080,10
10,high-iq,10100,11
11,high-iq,10080,12
12,high-iq,10040,13
13,high-iq,10100,14
14,high-iq,10120,15
15,high-iq,10080,16
16,high-iq,10140,17
17,high-iq,10200,18
18,high-iq,10160,19
19,high-iq,10140,20
20,high-iq,10200,21
21,high-iq,10200,22
22,high-iq,10260,23
23,high-iq,10240,24
24,high-iq,10320,25
25,high-iq,10380,26
26,high-iq,10420,27
27,high-iq,10500,28
28,high-iq,10500,29
29,high-iq,10560,30
30,high-iq,10580,31
31,high-iq,10540,32
32,high-iq,10600,33
33,high-iq,10600,34
34,high-iq,10620,35
35,high-iq,10660,36
36,high-iq,10720,37
37,high-iq,10780,38
38,high-iq,10740,39
39,high-iq,10820,40
40,high-iq,10880,41
41,high-iq,10880,42
42,high-iq,10900,43
43,high-iq,10860,44
44,high-iq,10960,45
45,high-iq,11020,46
46,high-iq,10980,47
47,high-iq,10960,48
48,high-iq,11020,49
49,high-iq,11020,50
50,high-iq,11080,51
51,high-iq,11120,52
52,high-iq,11080,53
53,high-iq,11140,54
54,high-iq,11160,55
55,high-iq,11240,56
56,high-iq,11200,57
57,high-iq,11280,58
58,high-iq,11300,59
59,high-iq,11280,60
60,high-iq,11400,61
61,high-iq,11360,62
62,high-iq,11380,63
63,high-iq,11340,64
64,high-iq,11340,65
65,high-iq,11400,66
66,high-iq,11360,67
67,high-iq,11440,68
68,high-iq,11500,69
69,high-iq,11580,70
70,high-iq,11540,71
71,high-iq,11580,72
72,high-iq,11540,73
73,high-iq,11500,74
74,high-iq,11540,75
75,high-iq,11580,76
76,high-iq,11700,77
77,high-iq,11700,78
78,high-iq,11660,79
79,high-iq,11700,80
80,high-iq,11660,81
81,high-iq,11660,82
82,high-iq,11680,83
83,high-iq,11720,84
84,high-iq,11720,85
85,high-iq,11780,86
86,high-iq,11800,87
87,high-iq,11780,88
88,high-iq,11780,89
89,high-iq,11840,90
90,high-iq,11900,91
91,high-iq,11940,92
92,high-iq,11900,93
93,high-iq,11960,94
94,high-iq,12060,95
95,high-iq,12100,96
96,high-iq,12220,97
97,high-iq,12320,98
98,high-iq,12360,99
99,high-iq,12400,100
100,high-iq,12460,101
101,high-iq,12560,102
102,high-iq,12600,103
103,high-iq,12640,104
104,high-iq,12640,105
105,high-iq,12700,106
106,high-iq,12760,107
107,high-iq,12720,108
108,high-iq,12720,109
109,high-iq,12720,110
110,high-iq,12740,111
111,high-iq,12780,112
112,high-iq,12840,113
113,high-iq,12920,114
114,high-iq,12880,115
115,high-iq,12920,116
116,high-iq,12980,117
117,high-iq,13040,118
118,high-iq,13060,119
119,high-iq,13100,120
120,high-iq,13160,121
121,high-iq,13240,122
122,high-iq,13300,123
123,high-iq,13340,124
124,high-iq,13440,125
125,high-iq,13440,126
126,high-iq,13400,127
127,high-iq,13440,128
128,high-iq,13500,129
129,high-iq,13500,130
130,high-iq,13460,131
131,high-iq,13420,132
