,uuid,stack,round
0,high-iq,10100,1
1,high-iq,10100,2
2,high-iq,10060,3
3,high-iq,10020,4
4,high-iq,10120,5
5,high-iq,10080,6
6,high-iq,10140,7
7,high-iq,10100,8
8,high-iq,10180,9
9,high-iq,10140,10
10,high-iq,10100,11
11,high-iq,10060,12
12,high-iq,10020,13
13,high-iq,9980,14
14,high-iq,10080,15
15,high-iq,10060,16
16,high-iq,10160,17
17,high-iq,10260,18
18,high-iq,10340,19
19,high-iq,10300,20
20,high-iq,10380,21
21,high-iq,10340,22
22,high-iq,10440,23
23,high-iq,10400,24
24,high-iq,10360,25
25,high-iq,10420,26
26,high-iq,10380,27
27,high-iq,10340,28
28,high-iq,10300,29
29,high-iq,10260,30
30,high-iq,10380,31
31,high-iq,10340,32
32,high-iq,10300,33
33,high-iq,10260,34
34,high-iq,10220,35
35,high-iq,10180,36
36,high-iq,10140,37
37,high-iq,10100,38
38,high-iq,10060,39
39,high-iq,10180,40
40,high-iq,10300,41
41,high-iq,10300,42
42,high-iq,10260,43
43,high-iq,10240,44
44,high-iq,10240,45
45,high-iq,10200,46
46,high-iq,10160,47
47,high-iq,10280,48
48,high-iq,10240,49
49,high-iq,10360,50
50,high-iq,10320,51
51,high-iq,10280,52
52,high-iq,10240,53
53,high-iq,10200,54
54,high-iq,10160,55
55,high-iq,10120,56
56,high-iq,10080,57
57,high-iq,10040,58
58,high-iq,10000,59
59,high-iq,9960,60
60,high-iq,10080,61
61,high-iq,10040,62
62,high-iq,10120,63
63,high-iq,10080,64
64,high-iq,10200,65
65,high-iq,10320,66
66,high-iq,10280,67
67,high-iq,10260,68
68,high-iq,10220,69
69,high-iq,10180,70
70,high-iq,10300,71
71,high-iq,10380,72
72,high-iq,10340,73
73,high-iq,10340,74
74,high-iq,10300,75
75,high-iq,10260,76
76,high-iq,10220,77
77,high-iq,10220,78
78,high-iq,10180,79
79,high-iq,10300,80
80,high-iq,10260,81
81,high-iq,10340,82
82,high-iq,10300,83
83,high-iq,10260,84
84,high-iq,10260,85
85,high-iq,10220,86
86,high-iq,10280,87
87,high-iq,10240,88
88,high-iq,10240,89
89,high-iq,10200,90
90,high-iq,10160,91
91,high-iq,10120,92
92,high-iq,10120,93
93,high-iq,10080,94
94,high-iq,10040,95
95,high-iq,10000,96
96,high-iq,10000,97
97,high-iq,9960,98
98,high-iq,9920,99
99,high-iq,9880,100
100,high-iq,10000,101
101,high-iq,10000,102
102,high-iq,9960,103
103,high-iq,9920,104
104,high-iq,9880,105
105,high-iq,10000,106
106,high-iq,10040,107
107,high-iq,10020,108
108,high-iq,9980,109
109,high-iq,9940,110
110,high-iq,9900,111
111,high-iq,9860,112
112,high-iq,9820,113
113,high-iq,9780,114
114,high-iq,9740,115
115,high-iq,9820,116
116,high-iq,9780,117
117,high-iq,9860,118
118,high-iq,9820,119
119,high-iq,9860,120
120,high-iq,9980,121
121,high-iq,9940,122
122,high-iq,9900,123
123,high-iq,10020,124
124,high-iq,10120,125
125,high-iq,10080,126
126,high-iq,10200,127
127,high-iq,10280,128
128,high-iq,10240,129
129,high-iq,10200,130
130,high-iq,10160,131
131,high-iq,10120,132
132,high-iq,10080,133
133,high-iq,10040,134
134,high-iq,10000,135
135,high-iq,9960,136
136,high-iq,10080,137
137,high-iq,10180,138
138,high-iq,10140,139
139,high-iq,10100,140
140,high-iq,10060,141
141,high-iq,10180,142
142,high-iq,10140,143
143,high-iq,10220,144
144,high-iq,10340,145
145,high-iq,10300,146
146,high-iq,10260,147
147,high-iq,10220,148
148,high-iq,10180,149
149,high-iq,10140,150
150,high-iq,10100,151
151,high-iq,10060,152
152,high-iq,10020,153
153,high-iq,10140,154
154,high-iq,10180,155
155,high-iq,10140,156
156,high-iq,10100,157
157,high-iq,10060,158
158,high-iq,10020,159
159,high-iq,9980,160
160,high-iq,9940,161
161,high-iq,9900,162
162,high-iq,9980,163
163,high-iq,9940,164
164,high-iq,9900,165
165,high-iq,9900,166
166,high-iq,9860,167
167,high-iq,9820,168
168,high-iq,9820,169
169,high-iq,9780,170
170,high-iq,9900,171
171,high-iq,10020,172
172,high-iq,10020,173
173,high-iq,9980,174
174,high-iq,10000,175
175,high-iq,9960,176
176,high-iq,9920,177
177,high-iq,9980,178
178,high-iq,9940,179
179,high-iq,9900,180
180,high-iq,10020,181
181,high-iq,10020,182
182,high-iq,9980,183
183,high-iq,9940,184
184,high-iq,9900,185
185,high-iq,9860,186
186,high-iq,9820,187
187,high-iq,9780,188
188,high-iq,9900,189
189,high-iq,9860,190
190,high-iq,9980,191
191,high-iq,9960,192
192,high-iq,9920,193
193,high-iq,10040,194
194,high-iq,10000,195
195,high-iq,9980,196
196,high-iq,10060,197
197,high-iq,10060,198
198,high-iq,10180,199
199,high-iq,10140,200
200,high-iq,10100,201
201,high-iq,10220,202
202,high-iq,10180,203
203,high-iq,10300,204
