,uuid,stack,round
0,high-iq,9960,1
1,high-iq,9920,2
2,high-iq,9880,3
3,high-iq,9920,4
4,high-iq,9880,5
5,high-iq,9940,6
6,high-iq,9960,7
7,high-iq,10080,8
8,high-iq,10200,9
9,high-iq,10160,10
10,high-iq,10120,11
11,high-iq,10100,12
12,high-iq,10220,13
13,high-iq,10180,14
14,high-iq,10300,15
15,high-iq,10260,16
16,high-iq,10260,17
17,high-iq,10220,18
18,high-iq,10180,19
19,high-iq,10140,20
20,high-iq,10260,21
21,high-iq,10380,22
22,high-iq,10340,23
23,high-iq,10300,24
24,high-iq,10260,25
25,high-iq,10260,26
26,high-iq,10220,27
27,high-iq,10180,28
28,high-iq,10140,29
29,high-iq,10260,30
30,high-iq,10220,31
31,high-iq,10180,32
32,high-iq,10300,33
33,high-iq,10300,34
34,high-iq,10260,35
35,high-iq,10220,36
36,high-iq,10180,37
37,high-iq,10140,38
38,high-iq,10100,39
39,high-iq,10060,40
40,high-iq,10180,41
41,high-iq,10140,42
42,high-iq,10100,43
43,high-iq,10180,44
44,high-iq,10140,45
45,high-iq,10100,46
46,high-iq,10060,47
47,high-iq,10020,48
48,high-iq,10100,49
49,high-iq,10060,50
50,high-iq,10020,51
51,high-iq,10000,52
52,high-iq,9960,53
53,high-iq,9920,54
54,high-iq,9940,55
55,high-iq,9920,56
56,high-iq,10020,57
57,high-iq,9980,58
58,high-iq,9940,59
59,high-iq,10020,60
60,high-iq,9980,61
61,high-iq,10080,62
62,high-iq,10040,63
63,high-iq,10000,64
64,high-iq,9960,65
65,high-iq,10060,66
66,high-iq,10020,67
67,high-iq,9980,68
68,high-iq,10100,69
69,high-iq,10180,70
70,high-iq,10140,71
71,high-iq,10120,72
72,high-iq,10220,73
73,high-iq,10280,74
74,high-iq,10240,75
75,high-iq,10200,76
76,high-iq,10320,77
77,high-iq,10280,78
78,high-iq,10240,79
79,high-iq,10220,80
80,high-iq,10280,81
81,high-iq,10240,82
82,high-iq,10280,83
83,high-iq,10240,84
84,high-iq,10200,85
85,high-iq,10160,86
86,high-iq,10120,87
87,high-iq,10080,88
88,high-iq,10040,89
89,high-iq,10040,90
90,high-iq,10000,91
91,high-iq,10120,92
92,high-iq,10240,93
93,high-iq,10240,94
94,high-iq,10200,95
95,high-iq,10160,96
96,high-iq,10220,97
97,high-iq,10320,98
98,high-iq,10280,99
99,high-iq,10260,100
100,high-iq,10380,101
101,high-iq,10500,102
102,high-iq,10460,103
103,high-iq,10580,104
104,high-iq,10540,105
105,high-iq,10500,106
106,high-iq,10460,107
107,high-iq,10420,108
108,high-iq,10540,109
109,high-iq,10500,110
110,high-iq,10460,111
111,high-iq,10420,112
112,high-iq,10380,113
113,high-iq,10460,114
114,high-iq,10420,115
115,high-iq,10540,116
116,high-iq,10660,117
117,high-iq,10660,118
118,high-iq,10620,119
119,high-iq,10580,120
120,high-iq,10540,121
121,high-iq,10500,122
122,high-iq,10460,123
123,high-iq,10440,124
124,high-iq,10400,125
125,high-iq,10360,126
126,high-iq,10460,127
127,high-iq,10540,128
128,high-iq,10640,129
129,high-iq,10740,130
130,high-iq,10860,131
131,high-iq,10820,132
132,high-iq,10780,133
133,high-iq,10900,134
134,high-iq,10860,135
135,high-iq,10840,136
136,high-iq,10800,137
137,high-iq,10760,138
138,high-iq,10840,139
139,high-iq,10960,140
140,high-iq,10920,141
141,high-iq,10880,142
142,high-iq,11000,143
143,high-iq,10980,144
144,high-iq,10940,145
145,high-iq,10900,146
146,high-iq,10860,147
147,high-iq,10940,148
148,high-iq,11040,149
149,high-iq,11000,150
150,high-iq,10960,151
151,high-iq,10920,152
152,high-iq,11020,153
153,high-iq,11020,154
154,high-iq,10980,155
155,high-iq,11100,156
156,high-iq,11060,157
157,high-iq,11020,158
158,high-iq,10980,159
159,high-iq,10940,160
160,high-iq,11020,161
161,high-iq,11120,162
162,high-iq,11080,163
163,high-iq,11040,164
164,high-iq,11000,165
165,high-iq,11000,166
166,high-iq,11020,167
167,high-iq,11000,168
168,high-iq,11000,169
169,high-iq,10960,170
170,high-iq,10920,171
171,high-iq,10900,172
172,high-iq,10860,173
173,high-iq,10860,174
174,high-iq,10820,175
175,high-iq,10780,176
176,high-iq,10740,177
177,high-iq,10740,178
178,high-iq,10700,179
179,high-iq,10780,180
180,high-iq,10740,181
181,high-iq,10840,182
182,high-iq,10800,183
183,high-iq,10760,184
184,high-iq,10720,185
185,high-iq,10720,186
186,high-iq,10740,187
187,high-iq,10720,188
188,high-iq,10840,189
189,high-iq,10800,190
190,high-iq,10880,191
191,high-iq,10860,192
192,high-iq,10820,193
193,high-iq,10820,194
194,high-iq,10940,195
195,high-iq,10920,196
196,high-iq,11020,197
197,high-iq,10980,198
198,high-iq,11100,199
199,high-iq,11060,200
200,high-iq,11180,201
201,high-iq,11140,202
202,high-iq,11240,203
203,high-iq,11200,204
204,high-iq,11300,205
205,high-iq,11260,206
206,high-iq,11220,207
207,high-iq,11180,208
208,high-iq,11140,209
209,high-iq,11100,210
210,high-iq,11120,211
211,high-iq,11080,212
212,high-iq,11040,213
213,high-iq,11000,214
214,high-iq,10960,215
215,high-iq,10920,216
216,high-iq,10880,217
217,high-iq,10980,218
218,high-iq,10940,219
219,high-iq,10900,220
220,high-iq,10860,221
221,high-iq,10860,222
222,high-iq,10820,223
223,high-iq,10780,224
224,high-iq,10740,225
225,high-iq,10860,226
226,high-iq,10820,227
227,high-iq,10900,228
228,high-iq,10980,229
229,high-iq,10940,230
230,high-iq,10900,231
231,high-iq,10880,232
232,high-iq,10980,233
233,high-iq,11100,234
234,high-iq,11060,235
235,high-iq,11020,236
236,high-iq,11120,237
237,high-iq,11080,238
238,high-iq,11040,239
239,high-iq,11000,240
240,high-iq,11080,241
241,high-iq,11160,242
242,high-iq,11120,243
243,high-iq,11100,244
244,high-iq,11200,245
245,high-iq,11160,246
246,high-iq,11120,247
247,high-iq,11080,248
248,high-iq,11140,249
249,high-iq,11100,250
250,high-iq,11140,251
251,high-iq,11100,252
252,high-iq,11060,253
253,high-iq,11020,254
254,high-iq,10980,255
255,high-iq,10940,256
256,high-iq,10900,257
257,high-iq,10860,258
258,high-iq,10940,259
259,high-iq,10900,260
260,high-iq,10960,261
261,high-iq,11040,262
262,high-iq,11000,263
263,high-iq,10980,264
264,high-iq,10940,265
265,high-iq,11020,266
266,high-iq,11120,267
267,high-iq,11080,268
268,high-iq,11040,269
269,high-iq,11120,270
270,high-iq,11080,271
271,high-iq,11040,272
272,high-iq,11040,273
273,high-iq,11120,274
274,high-iq,11080,275
275,high-iq,11160,276
276,high-iq,11260,277
277,high-iq,11260,278
278,high-iq,11380,279
279,high-iq,11340,280
280,high-iq,11340,281
281,high-iq,11400,282
282,high-iq,11360,283
283,high-iq,11400,284
284,high-iq,11360,285
285,high-iq,11480,286
286,high-iq,11440,287
287,high-iq,11400,288
288,high-iq,11360,289
289,high-iq,11360,290
290,high-iq,11320,291
291,high-iq,11280,292
292,high-iq,11280,293
293,high-iq,11240,294
294,high-iq,11200,295
295,high-iq,11160,296
296,high-iq,11120,297
297,high-iq,11080,298
298,high-iq,11040,299
299,high-iq,11000,300
300,high-iq,10960,301
301,high-iq,11080,302
302,high-iq,11040,303
303,high-iq,11120,304
304,high-iq,11080,305
305,high-iq,11040,306
306,high-iq,11160,307
307,high-iq,11120,308
308,high-iq,11120,309
309,high-iq,11200,310
310,high-iq,11160,311
311,high-iq,11120,312
312,high-iq,11080,313
313,high-iq,11200,314
314,high-iq,11160,315
315,high-iq,11140,316
316,high-iq,11100,317
317,high-iq,11100,318
318,high-iq,11160,319
319,high-iq,11120,320
320,high-iq,11120,321
321,high-iq,11200,322
322,high-iq,11160,323
323,high-iq,11280,324
324,high-iq,11240,325
325,high-iq,11360,326
326,high-iq,11480,327
327,high-iq,11560,328
328,high-iq,11680,329
329,high-iq,11640,330
330,high-iq,11600,331
331,high-iq,11580,332
332,high-iq,11540,333
333,high-iq,11500,334
334,high-iq,11460,335
335,high-iq,11540,336
336,high-iq,11500,337
337,high-iq,11500,338
338,high-iq,11460,339
339,high-iq,11580,340
340,high-iq,11700,341
341,high-iq,11660,342
342,high-iq,11620,343
343,high-iq,11740,344
344,high-iq,11860,345
345,high-iq,11920,346
346,high-iq,11880,347
347,high-iq,11840,348
348,high-iq,11800,349
349,high-iq,11760,350
350,high-iq,11720,351
351,high-iq,11700,352
352,high-iq,11700,353
353,high-iq,11820,354
354,high-iq,11780,355
355,high-iq,11900,356
356,high-iq,11860,357
357,high-iq,11820,358
358,high-iq,11780,359
359,high-iq,11740,360
360,high-iq,11700,361
361,high-iq,11660,362
362,high-iq,11740,363
363,high-iq,11860,364
364,high-iq,11820,365
365,high-iq,11900,366
366,high-iq,12000,367
367,high-iq,11960,368
368,high-iq,11920,369
369,high-iq,11880,370
370,high-iq,11940,371
371,high-iq,12020,372
372,high-iq,11980,373
373,high-iq,11940,374
374,high-iq,12000,375
375,high-iq,11980,376
376,high-iq,12080,377
377,high-iq,12040,378
378,high-iq,12000,379
379,high-iq,11960,380
380,high-iq,12060,381
381,high-iq,12020,382
382,high-iq,11980,383
383,high-iq,11960,384
384,high-iq,12040,385
385,high-iq,12040,386
386,high-iq,12080,387
387,high-iq,12160,388
388,high-iq,12120,389
389,high-iq,12120,390
390,high-iq,12240,391
391,high-iq,12200,392
392,high-iq,12200,393
393,high-iq,12160,394
394,high-iq,12120,395
395,high-iq,12080,396
396,high-iq,12040,397
397,high-iq,12000,398
398,high-iq,11960,399
399,high-iq,11920,400
400,high-iq,11880,401
401,high-iq,11940,402
402,high-iq,12040,403
