,uuid,stack,round
0,low-iq3,9980,1
1,low-iq3,9940,2
2,low-iq3,10060,3
3,low-iq3,10020,4
4,low-iq3,9980,5
5,low-iq3,9940,6
6,low-iq3,9900,7
7,low-iq3,9860,8
8,low-iq3,9820,9
9,low-iq3,9920,10
10,low-iq3,9920,11
11,low-iq3,9880,12
12,low-iq3,9860,13
13,low-iq3,9820,14
14,low-iq3,9940,15
15,low-iq3,10020,16
16,low-iq3,10000,17
17,low-iq3,9960,18
18,low-iq3,9960,19
19,low-iq3,10000,20
20,low-iq3,9980,21
21,low-iq3,10080,22
22,low-iq3,10040,23
23,low-iq3,10000,24
24,low-iq3,10080,25
25,low-iq3,10160,26
26,low-iq3,10160,27
27,low-iq3,10120,28
28,low-iq3,10200,29
29,low-iq3,10280,30
30,low-iq3,10280,31
31,low-iq3,10240,32
32,low-iq3,10200,33
33,low-iq3,10300,34
34,low-iq3,10420,35
35,low-iq3,10380,36
36,low-iq3,10340,37
37,low-iq3,10340,38
38,low-iq3,10420,39
39,low-iq3,10500,40
40,low-iq3,10460,41
41,low-iq3,10560,42
42,low-iq3,10520,43
43,low-iq3,10480,44
44,low-iq3,10440,45
45,low-iq3,10400,46
46,low-iq3,10360,47
47,low-iq3,10320,48
48,low-iq3,10280,49
49,low-iq3,10280,50
50,low-iq3,10240,51
51,low-iq3,10200,52
52,low-iq3,10180,53
53,low-iq3,10260,54
54,low-iq3,10320,55
55,low-iq3,10280,56
56,low-iq3,10240,57
57,low-iq3,10200,58
58,low-iq3,10160,59
59,low-iq3,10120,60
60,low-iq3,10080,61
61,low-iq3,10160,62
62,low-iq3,10240,63
63,low-iq3,10200,64
64,low-iq3,10160,65
65,low-iq3,10160,66
66,low-iq3,10120,67
67,low-iq3,10080,68
68,low-iq3,10060,69
69,low-iq3,10020,70
70,low-iq3,9980,71
71,low-iq3,10060,72
72,low-iq3,10040,73
73,low-iq3,10040,74
74,low-iq3,10140,75
75,low-iq3,10100,76
76,low-iq3,10060,77
77,low-iq3,10020,78
