,uuid,stack,round
0,high-iq,10120,1
1,high-iq,10080,2
2,high-iq,10040,3
3,high-iq,10020,4
4,high-iq,10020,5
5,high-iq,10140,6
6,high-iq,10100,7
7,high-iq,10080,8
8,high-iq,10180,9
9,high-iq,10140,10
10,high-iq,10100,11
11,high-iq,10060,12
12,high-iq,10060,13
13,high-iq,10020,14
14,high-iq,9980,15
15,high-iq,9940,16
16,high-iq,10060,17
17,high-iq,10020,18
18,high-iq,9980,19
19,high-iq,9960,20
20,high-iq,10080,21
21,high-iq,10040,22
22,high-iq,10000,23
23,high-iq,9980,24
24,high-iq,9940,25
25,high-iq,9900,26
26,high-iq,9860,27
27,high-iq,9820,28
28,high-iq,9780,29
29,high-iq,9740,30
30,high-iq,9700,31
31,high-iq,9680,32
32,high-iq,9680,33
33,high-iq,9680,34
34,high-iq,9640,35
35,high-iq,9600,36
36,high-iq,9560,37
37,high-iq,9520,38
38,high-iq,9480,39
39,high-iq,9440,40
40,high-iq,9540,41
41,high-iq,9540,42
42,high-iq,9500,43
43,high-iq,9620,44
44,high-iq,9580,45
45,high-iq,9540,46
46,high-iq,9500,47
47,high-iq,9620,48
48,high-iq,9580,49
49,high-iq,9700,50
50,high-iq,9780,51
51,high-iq,9820,52
52,high-iq,9780,53
53,high-iq,9740,54
54,high-iq,9700,55
55,high-iq,9660,56
56,high-iq,9780,57
57,high-iq,9780,58
58,high-iq,9740,59
59,high-iq,9780,60
60,high-iq,9740,61
61,high-iq,9740,62
62,high-iq,9700,63
63,high-iq,9660,64
64,high-iq,9620,65
65,high-iq,9580,66
66,high-iq,9540,67
67,high-iq,9500,68
68,high-iq,9580,69
69,high-iq,9540,70
70,high-iq,9500,71
71,high-iq,9460,72
72,high-iq,9460,73
73,high-iq,9460,74
74,high-iq,9420,75
75,high-iq,9380,76
76,high-iq,9460,77
77,high-iq,9460,78
78,high-iq,9420,79
79,high-iq,9400,80
80,high-iq,9360,81
81,high-iq,9320,82
82,high-iq,9400,83
83,high-iq,9360,84
84,high-iq,9480,85
85,high-iq,9480,86
86,high-iq,9440,87
87,high-iq,9400,88
88,high-iq,9360,89
89,high-iq,9320,90
90,high-iq,9280,91
91,high-iq,9240,92
92,high-iq,9200,93
93,high-iq,9160,94
94,high-iq,9120,95
95,high-iq,9080,96
96,high-iq,9040,97
97,high-iq,9120,98
98,high-iq,9080,99
99,high-iq,9040,100
100,high-iq,9000,101
101,high-iq,8960,102
102,high-iq,8920,103
103,high-iq,9040,104
104,high-iq,9120,105
105,high-iq,9080,106
106,high-iq,9160,107
107,high-iq,9120,108
108,high-iq,9080,109
109,high-iq,9080,110
110,high-iq,9040,111
111,high-iq,9000,112
112,high-iq,9120,113
113,high-iq,9080,114
114,high-iq,9040,115
115,high-iq,9000,116
116,high-iq,9080,117
117,high-iq,9200,118
118,high-iq,9160,119
119,high-iq,9200,120
120,high-iq,9160,121
121,high-iq,9160,122
122,high-iq,9180,123
123,high-iq,9140,124
124,high-iq,9140,125
125,high-iq,9100,126
126,high-iq,9180,127
127,high-iq,9140,128
128,high-iq,9100,129
129,high-iq,9220,130
130,high-iq,9180,131
131,high-iq,9160,132
132,high-iq,9260,133
133,high-iq,9220,134
134,high-iq,9180,135
135,high-iq,9140,136
136,high-iq,9100,137
137,high-iq,9200,138
138,high-iq,9160,139
139,high-iq,9280,140
140,high-iq,9400,141
141,high-iq,9360,142
142,high-iq,9320,143
143,high-iq,9280,144
144,high-iq,9240,145
145,high-iq,9200,146
146,high-iq,9160,147
147,high-iq,9120,148
148,high-iq,9080,149
149,high-iq,9040,150
150,high-iq,9000,151
151,high-iq,8960,152
152,high-iq,8920,153
153,high-iq,8880,154
154,high-iq,8840,155
155,high-iq,8960,156
156,high-iq,8960,157
157,high-iq,8920,158
158,high-iq,8880,159
159,high-iq,8840,160
160,high-iq,8800,161
161,high-iq,8800,162
162,high-iq,8760,163
163,high-iq,8720,164
164,high-iq,8780,165
165,high-iq,8900,166
166,high-iq,8860,167
167,high-iq,8820,168
168,high-iq,8780,169
169,high-iq,8740,170
170,high-iq,8700,171
171,high-iq,8660,172
172,high-iq,8620,173
173,high-iq,8620,174
174,high-iq,8580,175
175,high-iq,8540,176
176,high-iq,8500,177
177,high-iq,8500,178
178,high-iq,8460,179
179,high-iq,8420,180
180,high-iq,8540,181
181,high-iq,8500,182
182,high-iq,8460,183
183,high-iq,8420,184
184,high-iq,8380,185
185,high-iq,8340,186
186,high-iq,8300,187
187,high-iq,8260,188
188,high-iq,8380,189
189,high-iq,8480,190
190,high-iq,8600,191
191,high-iq,8580,192
192,high-iq,8540,193
193,high-iq,8620,194
194,high-iq,8580,195
195,high-iq,8540,196
196,high-iq,8620,197
197,high-iq,8740,198
198,high-iq,8700,199
199,high-iq,8820,200
200,high-iq,8780,201
201,high-iq,8780,202
202,high-iq,8740,203
203,high-iq,8720,204
204,high-iq,8680,205
205,high-iq,8640,206
206,high-iq,8600,207
207,high-iq,8560,208
208,high-iq,8560,209
209,high-iq,8520,210
210,high-iq,8480,211
211,high-iq,8440,212
212,high-iq,8400,213
213,high-iq,8360,214
214,high-iq,8320,215
215,high-iq,8280,216
216,high-iq,8400,217
217,high-iq,8360,218
218,high-iq,8320,219
219,high-iq,8280,220
220,high-iq,8240,221
221,high-iq,8320,222
222,high-iq,8280,223
223,high-iq,8240,224
224,high-iq,8360,225
225,high-iq,8320,226
226,high-iq,8440,227
227,high-iq,8400,228
228,high-iq,8520,229
229,high-iq,8520,230
230,high-iq,8580,231
231,high-iq,8540,232
232,high-iq,8540,233
233,high-iq,8660,234
234,high-iq,8620,235
235,high-iq,8580,236
236,high-iq,8540,237
237,high-iq,8500,238
238,high-iq,8460,239
239,high-iq,8420,240
240,high-iq,8380,241
241,high-iq,8500,242
242,high-iq,8620,243
243,high-iq,8580,244
244,high-iq,8540,245
245,high-iq,8500,246
246,high-iq,8460,247
247,high-iq,8580,248
248,high-iq,8580,249
249,high-iq,8540,250
250,high-iq,8500,251
251,high-iq,8620,252
252,high-iq,8580,253
253,high-iq,8540,254
254,high-iq,8500,255
255,high-iq,8480,256
256,high-iq,8600,257
257,high-iq,8560,258
258,high-iq,8640,259
259,high-iq,8760,260
260,high-iq,8860,261
261,high-iq,8820,262
262,high-iq,8780,263
263,high-iq,8740,264
264,high-iq,8860,265
265,high-iq,8960,266
266,high-iq,8920,267
267,high-iq,9040,268
268,high-iq,9040,269
269,high-iq,9040,270
270,high-iq,9000,271
271,high-iq,8960,272
272,high-iq,8960,273
273,high-iq,8960,274
274,high-iq,8920,275
275,high-iq,8880,276
276,high-iq,8880,277
277,high-iq,8880,278
278,high-iq,8840,279
279,high-iq,8800,280
280,high-iq,8760,281
281,high-iq,8760,282
282,high-iq,8880,283
283,high-iq,8840,284
284,high-iq,8920,285
285,high-iq,8880,286
286,high-iq,9000,287
287,high-iq,8980,288
288,high-iq,9080,289
289,high-iq,9040,290
290,high-iq,9000,291
291,high-iq,8960,292
292,high-iq,8920,293
293,high-iq,8880,294
294,high-iq,8840,295
295,high-iq,8800,296
296,high-iq,8800,297
297,high-iq,8860,298
298,high-iq,8960,299
299,high-iq,9080,300
300,high-iq,9040,301
301,high-iq,9120,302
302,high-iq,9080,303
303,high-iq,9040,304
304,high-iq,9120,305
305,high-iq,9120,306
306,high-iq,9080,307
307,high-iq,9060,308
308,high-iq,9020,309
309,high-iq,9020,310
310,high-iq,8980,311
311,high-iq,9060,312
312,high-iq,9060,313
313,high-iq,9020,314
314,high-iq,9140,315
315,high-iq,9260,316
316,high-iq,9220,317
317,high-iq,9180,318
318,high-iq,9140,319
319,high-iq,9220,320
320,high-iq,9300,321
321,high-iq,9360,322
322,high-iq,9320,323
323,high-iq,9440,324
324,high-iq,9520,325
325,high-iq,9520,326
326,high-iq,9640,327
327,high-iq,9600,328
328,high-iq,9700,329
329,high-iq,9660,330
330,high-iq,9620,331
331,high-iq,9580,332
332,high-iq,9540,333
333,high-iq,9540,334
334,high-iq,9500,335
335,high-iq,9620,336
336,high-iq,9680,337
337,high-iq,9800,338
338,high-iq,9760,339
339,high-iq,9840,340
340,high-iq,9800,341
341,high-iq,9800,342
342,high-iq,9760,343
343,high-iq,9720,344
344,high-iq,9840,345
345,high-iq,9840,346
346,high-iq,9800,347
347,high-iq,9920,348
348,high-iq,9920,349
349,high-iq,9920,350
350,high-iq,10040,351
351,high-iq,10000,352
352,high-iq,10120,353
353,high-iq,10080,354
354,high-iq,10040,355
355,high-iq,10000,356
356,high-iq,9960,357
357,high-iq,9920,358
358,high-iq,9880,359
359,high-iq,9960,360
360,high-iq,9920,361
361,high-iq,9880,362
362,high-iq,9840,363
363,high-iq,9820,364
364,high-iq,9820,365
365,high-iq,9780,366
366,high-iq,9740,367
367,high-iq,9700,368
368,high-iq,9660,369
369,high-iq,9620,370
370,high-iq,9740,371
371,high-iq,9720,372
372,high-iq,9840,373
373,high-iq,9960,374
374,high-iq,10080,375
375,high-iq,10200,376
376,high-iq,10200,377
377,high-iq,10300,378
378,high-iq,10420,379
379,high-iq,10380,380
380,high-iq,10340,381
381,high-iq,10300,382
382,high-iq,10260,383
383,high-iq,10240,384
384,high-iq,10200,385
385,high-iq,10200,386
386,high-iq,10160,387
387,high-iq,10120,388
388,high-iq,10080,389
389,high-iq,10040,390
390,high-iq,10160,391
391,high-iq,10200,392
392,high-iq,10200,393
393,high-iq,10200,394
394,high-iq,10160,395
395,high-iq,10120,396
396,high-iq,10080,397
397,high-iq,10080,398
398,high-iq,10140,399
399,high-iq,10260,400
400,high-iq,10220,401
401,high-iq,10180,402
402,high-iq,10140,403
403,high-iq,10260,404
404,high-iq,10220,405
405,high-iq,10280,406
406,high-iq,10400,407
407,high-iq,10360,408
408,high-iq,10320,409
409,high-iq,10280,410
410,high-iq,10240,411
411,high-iq,10220,412
412,high-iq,10180,413
413,high-iq,10140,414
414,high-iq,10100,415
415,high-iq,10060,416
416,high-iq,10020,417
417,high-iq,9980,418
418,high-iq,9940,419
419,high-iq,9900,420
420,high-iq,9980,421
421,high-iq,9940,422
422,high-iq,9900,423
423,high-iq,9860,424
424,high-iq,9820,425
425,high-iq,9780,426
426,high-iq,9740,427
427,high-iq,9700,428
428,high-iq,9660,429
429,high-iq,9720,430
430,high-iq,9800,431
431,high-iq,9780,432
432,high-iq,9900,433
433,high-iq,9980,434
434,high-iq,9940,435
435,high-iq,9920,436
436,high-iq,9880,437
437,high-iq,9980,438
438,high-iq,9940,439
439,high-iq,9900,440
440,high-iq,9860,441
441,high-iq,9980,442
442,high-iq,9940,443
443,high-iq,9920,444
444,high-iq,10040,445
445,high-iq,10000,446
446,high-iq,10060,447
447,high-iq,10140,448
448,high-iq,10100,449
449,high-iq,10060,450
450,high-iq,10020,451
451,high-iq,9980,452
452,high-iq,9940,453
453,high-iq,9900,454
454,high-iq,9940,455
455,high-iq,10060,456
456,high-iq,10020,457
457,high-iq,10020,458
458,high-iq,9980,459
459,high-iq,9940,460
460,high-iq,9900,461
461,high-iq,9860,462
462,high-iq,9980,463
