,uuid,stack,round
0,low-iq3,9960,1
1,low-iq3,9960,2
2,low-iq3,9960,3
3,low-iq3,10000,4
4,low-iq3,9980,5
5,low-iq3,9980,6
6,low-iq3,9980,7
7,low-iq3,10000,8
8,low-iq3,9960,9
9,low-iq3,9960,10
10,low-iq3,9960,11
11,low-iq3,9920,12
12,low-iq3,9880,13
13,low-iq3,9880,14
14,low-iq3,9960,15
15,low-iq3,9920,16
16,low-iq3,9880,17
17,low-iq3,9840,18
18,low-iq3,9800,19
19,low-iq3,9760,20
20,low-iq3,9740,21
21,low-iq3,9740,22
22,low-iq3,9800,23
23,low-iq3,9820,24
24,low-iq3,9800,25
25,low-iq3,9800,26
26,low-iq3,9760,27
27,low-iq3,9720,28
28,low-iq3,9700,29
29,low-iq3,9700,30
30,low-iq3,9700,31
31,low-iq3,9660,32
32,low-iq3,9640,33
33,low-iq3,9640,34
34,low-iq3,9640,35
35,low-iq3,9600,36
36,low-iq3,9580,37
37,low-iq3,9580,38
38,low-iq3,9540,39
39,low-iq3,9500,40
40,low-iq3,9480,41
41,low-iq3,9480,42
42,low-iq3,9480,43
43,low-iq3,9440,44
44,low-iq3,9420,45
45,low-iq3,9480,46
46,low-iq3,9480,47
47,low-iq3,9440,48
48,low-iq3,9400,49
49,low-iq3,9400,50
50,low-iq3,9400,51
51,low-iq3,9360,52
52,low-iq3,9340,53
53,low-iq3,9340,54
54,low-iq3,9340,55
55,low-iq3,9360,56
56,low-iq3,9320,57
57,low-iq3,9420,58
58,low-iq3,9420,59
59,low-iq3,9380,60
60,low-iq3,9460,61
61,low-iq3,9460,62
62,low-iq3,9460,63
63,low-iq3,9480,64
64,low-iq3,9460,65
65,low-iq3,9420,66
66,low-iq3,9520,67
67,low-iq3,9480,68
68,low-iq3,9460,69
69,low-iq3,9460,70
70,low-iq3,9420,71
71,low-iq3,9380,72
72,low-iq3,9420,73
73,low-iq3,9420,74
74,low-iq3,9420,75
75,low-iq3,9380,76
76,low-iq3,9360,77
77,low-iq3,9360,78
78,low-iq3,9360,79
79,low-iq3,9320,80
80,low-iq3,9300,81
81,low-iq3,9300,82
82,low-iq3,9300,83
83,low-iq3,9260,84
84,low-iq3,9240,85
85,low-iq3,9240,86
86,low-iq3,9300,87
87,low-iq3,9260,88
88,low-iq3,9340,89
89,low-iq3,9340,90
90,low-iq3,9340,91
91,low-iq3,9300,92
92,low-iq3,9280,93
93,low-iq3,9280,94
94,low-iq3,9280,95
95,low-iq3,9240,96
96,low-iq3,9220,97
97,low-iq3,9220,98
