,uuid,stack,round
0,low-iq,9960,1
1,low-iq,10080,2
2,low-iq,10040,3
3,low-iq,10000,4
4,low-iq,9960,5
5,low-iq,9920,6
6,low-iq,9900,7
7,low-iq,9860,8
8,low-iq,9940,9
9,low-iq,9900,10
10,low-iq,9880,11
11,low-iq,9840,12
12,low-iq,9840,13
13,low-iq,9880,14
14,low-iq,10000,15
15,low-iq,10000,16
16,low-iq,9960,17
17,low-iq,9920,18
18,low-iq,9880,19
19,low-iq,9940,20
20,low-iq,9940,21
21,low-iq,9900,22
22,low-iq,9860,23
23,low-iq,9860,24
24,low-iq,9820,25
25,low-iq,9780,26
26,low-iq,9740,27
27,low-iq,9700,28
28,low-iq,9800,29
29,low-iq,9760,30
30,low-iq,9720,31
31,low-iq,9820,32
32,low-iq,9940,33
33,low-iq,9900,34
34,low-iq,9940,35
35,low-iq,9940,36
36,low-iq,10060,37
37,low-iq,10180,38
38,low-iq,10140,39
39,low-iq,10220,40
40,low-iq,10300,41
41,low-iq,10320,42
42,low-iq,10300,43
43,low-iq,10300,44
44,low-iq,10260,45
45,low-iq,10220,46
46,low-iq,10300,47
47,low-iq,10380,48
48,low-iq,10340,49
49,low-iq,10300,50
50,low-iq,10380,51
51,low-iq,10340,52
52,low-iq,10460,53
53,low-iq,10420,54
54,low-iq,10400,55
55,low-iq,10360,56
56,low-iq,10320,57
57,low-iq,10280,58
58,low-iq,10260,59
59,low-iq,10380,60
60,low-iq,10380,61
61,low-iq,10340,62
62,low-iq,10300,63
63,low-iq,10260,64
64,low-iq,10220,65
65,low-iq,10180,66
66,low-iq,10140,67
67,low-iq,10100,68
68,low-iq,10060,69
69,low-iq,10160,70
70,low-iq,10280,71
71,low-iq,10240,72
72,low-iq,10240,73
73,low-iq,10200,74
74,low-iq,10180,75
75,low-iq,10140,76
76,low-iq,10100,77
77,low-iq,10060,78
78,low-iq,10020,79
79,low-iq,10020,80
80,low-iq,10080,81
81,low-iq,10040,82
82,low-iq,10020,83
83,low-iq,9980,84
84,low-iq,9940,85
85,low-iq,9900,86
86,low-iq,9880,87
87,low-iq,9840,88
88,low-iq,9840,89
89,low-iq,9800,90
90,low-iq,9760,91
91,low-iq,9720,92
92,low-iq,9720,93
93,low-iq,9680,94
94,low-iq,9660,95
95,low-iq,9620,96
96,low-iq,9700,97
97,low-iq,9660,98
98,low-iq,9780,99
99,low-iq,9740,100
100,low-iq,9860,101
101,low-iq,9820,102
102,low-iq,9800,103
103,low-iq,9760,104
104,low-iq,9720,105
105,low-iq,9680,106
106,low-iq,9800,107
107,low-iq,9800,108
108,low-iq,9860,109
109,low-iq,9820,110
110,low-iq,9800,111
111,low-iq,9760,112
112,low-iq,9720,113
113,low-iq,9840,114
114,low-iq,9920,115
115,low-iq,9920,116
116,low-iq,9920,117
117,low-iq,9880,118
118,low-iq,9860,119
119,low-iq,9820,120
120,low-iq,9900,121
121,low-iq,9860,122
122,low-iq,9840,123
123,low-iq,9920,124
124,low-iq,9880,125
125,low-iq,9980,126
126,low-iq,9940,127
127,low-iq,9900,128
128,low-iq,9960,129
129,low-iq,10080,130
130,low-iq,10040,131
131,low-iq,10000,132
132,low-iq,10000,133
133,low-iq,9960,134
134,low-iq,10080,135
135,low-iq,10080,136
136,low-iq,10080,137
137,low-iq,10040,138
138,low-iq,10020,139
139,low-iq,10100,140
140,low-iq,10100,141
141,low-iq,10060,142
142,low-iq,10020,143
143,low-iq,9980,144
144,low-iq,10060,145
145,low-iq,10020,146
146,low-iq,10140,147
147,low-iq,10140,148
148,low-iq,10100,149
149,low-iq,10060,150
150,low-iq,10020,151
151,low-iq,10100,152
