,uuid,stack,round
0,low-iq2,9960,1
1,low-iq2,9940,2
2,low-iq2,10040,3
3,low-iq2,10000,4
4,low-iq2,9960,5
5,low-iq2,9920,6
6,low-iq2,9980,7
7,low-iq2,9940,8
8,low-iq2,9900,9
9,low-iq2,9980,10
10,low-iq2,10100,11
11,low-iq2,10180,12
12,low-iq2,10140,13
13,low-iq2,10100,14
14,low-iq2,10060,15
15,low-iq2,10020,16
16,low-iq2,9980,17
17,low-iq2,9940,18
18,low-iq2,9900,19
19,low-iq2,9860,20
20,low-iq2,9820,21
21,low-iq2,9800,22
22,low-iq2,9800,23
23,low-iq2,9900,24
24,low-iq2,9860,25
25,low-iq2,9840,26
26,low-iq2,9960,27
27,low-iq2,9960,28
28,low-iq2,9920,29
29,low-iq2,9900,30
30,low-iq2,9860,31
31,low-iq2,9820,32
32,low-iq2,9900,33
33,low-iq2,9980,34
34,low-iq2,9940,35
35,low-iq2,10060,36
36,low-iq2,10020,37
37,low-iq2,9980,38
38,low-iq2,9940,39
39,low-iq2,9900,40
40,low-iq2,9860,41
41,low-iq2,9820,42
42,low-iq2,9780,43
43,low-iq2,9740,44
44,low-iq2,9700,45
45,low-iq2,9820,46
46,low-iq2,9940,47
47,low-iq2,9900,48
48,low-iq2,10020,49
49,low-iq2,9980,50
50,low-iq2,9980,51
51,low-iq2,9980,52
52,low-iq2,10060,53
53,low-iq2,10020,54
54,low-iq2,10020,55
55,low-iq2,10020,56
56,low-iq2,9980,57
57,low-iq2,9960,58
58,low-iq2,9920,59
59,low-iq2,9920,60
60,low-iq2,9880,61
61,low-iq2,9840,62
62,low-iq2,9800,63
63,low-iq2,9760,64
64,low-iq2,9720,65
65,low-iq2,9680,66
66,low-iq2,9800,67
67,low-iq2,9760,68
68,low-iq2,9720,69
69,low-iq2,9760,70
70,low-iq2,9720,71
71,low-iq2,9720,72
72,low-iq2,9680,73
73,low-iq2,9640,74
74,low-iq2,9600,75
75,low-iq2,9560,76
76,low-iq2,9520,77
77,low-iq2,9480,78
78,low-iq2,9440,79
79,low-iq2,9400,80
80,low-iq2,9480,81
81,low-iq2,9460,82
82,low-iq2,9460,83
83,low-iq2,9540,84
84,low-iq2,9500,85
85,low-iq2,9460,86
86,low-iq2,9580,87
87,low-iq2,9540,88
88,low-iq2,9500,89
89,low-iq2,9460,90
90,low-iq2,9560,91
91,low-iq2,9520,92
92,low-iq2,9480,93
93,low-iq2,9440,94
94,low-iq2,9560,95
95,low-iq2,9680,96
96,low-iq2,9640,97
97,low-iq2,9600,98
98,low-iq2,9560,99
99,low-iq2,9560,100
100,low-iq2,9520,101
101,low-iq2,9480,102
102,low-iq2,9580,103
103,low-iq2,9540,104
104,low-iq2,9500,105
105,low-iq2,9460,106
106,low-iq2,9420,107
107,low-iq2,9500,108
108,low-iq2,9460,109
109,low-iq2,9420,110
110,low-iq2,9540,111
