,uuid,stack,round
0,high-iq,10060,1
1,high-iq,10120,2
2,high-iq,10080,3
3,high-iq,10060,4
4,high-iq,10160,5
5,high-iq,10240,6
6,high-iq,10260,7
7,high-iq,10300,8
8,high-iq,10360,9
9,high-iq,10360,10
10,high-iq,10320,11
11,high-iq,10280,12
12,high-iq,10280,13
13,high-iq,10340,14
14,high-iq,10300,15
15,high-iq,10340,16
16,high-iq,10400,17
17,high-iq,10460,18
18,high-iq,10420,19
19,high-iq,10460,20
20,high-iq,10560,21
21,high-iq,10620,22
22,high-iq,10580,23
23,high-iq,10700,24
24,high-iq,10660,25
25,high-iq,10660,26
26,high-iq,10620,27
27,high-iq,10700,28
28,high-iq,10660,29
29,high-iq,10660,30
30,high-iq,10740,31
31,high-iq,10720,32
32,high-iq,10820,33
33,high-iq,10820,34
34,high-iq,10840,35
35,high-iq,10800,36
36,high-iq,10800,37
37,high-iq,10860,38
38,high-iq,10880,39
39,high-iq,10960,40
40,high-iq,11020,41
41,high-iq,11020,42
42,high-iq,10980,43
43,high-iq,11020,44
44,high-iq,11140,45
45,high-iq,11200,46
46,high-iq,11220,47
47,high-iq,11300,48
48,high-iq,11360,49
49,high-iq,11420,50
50,high-iq,11380,51
51,high-iq,11460,52
52,high-iq,11460,53
53,high-iq,11520,54
54,high-iq,11540,55
55,high-iq,11580,56
56,high-iq,11580,57
57,high-iq,11640,58
58,high-iq,11660,59
59,high-iq,11700,60
60,high-iq,11800,61
61,high-iq,11860,62
62,high-iq,11880,63
63,high-iq,11960,64
64,high-iq,11960,65
65,high-iq,12020,66
66,high-iq,12060,67
67,high-iq,12040,68
68,high-iq,12100,69
69,high-iq,12160,70
70,high-iq,12180,71
71,high-iq,12260,72
72,high-iq,12320,73
73,high-iq,12400,74
74,high-iq,12440,75
75,high-iq,12420,76
76,high-iq,12480,77
77,high-iq,12440,78
78,high-iq,12500,79
79,high-iq,12480,80
80,high-iq,12540,81
81,high-iq,12640,82
82,high-iq,12720,83
83,high-iq,12680,84
84,high-iq,12760,85
85,high-iq,12840,86
86,high-iq,12880,87
87,high-iq,12860,88
88,high-iq,12860,89
89,high-iq,12920,90
90,high-iq,12880,91
91,high-iq,12960,92
92,high-iq,13040,93
93,high-iq,13140,94
94,high-iq,13160,95
95,high-iq,13200,96
96,high-iq,13200,97
97,high-iq,13320,98
98,high-iq,13400,99
99,high-iq,13440,100
100,high-iq,13500,101
101,high-iq,13560,102
