,uuid,stack,round
0,low-iq,10060,1
1,low-iq,10180,2
2,low-iq,10140,3
3,low-iq,10100,4
4,low-iq,10200,5
5,low-iq,10160,6
6,low-iq,10120,7
7,low-iq,10120,8
8,low-iq,10200,9
9,low-iq,10280,10
10,low-iq,10400,11
11,low-iq,10520,12
12,low-iq,10480,13
13,low-iq,10440,14
14,low-iq,10400,15
15,low-iq,10520,16
16,low-iq,10480,17
17,low-iq,10440,18
18,low-iq,10400,19
19,low-iq,10360,20
20,low-iq,10320,21
21,low-iq,10280,22
22,low-iq,10260,23
23,low-iq,10220,24
24,low-iq,10320,25
25,low-iq,10420,26
26,low-iq,10400,27
27,low-iq,10480,28
28,low-iq,10540,29
29,low-iq,10500,30
30,low-iq,10620,31
31,low-iq,10740,32
32,low-iq,10700,33
33,low-iq,10660,34
34,low-iq,10620,35
35,low-iq,10620,36
36,low-iq,10720,37
37,low-iq,10840,38
38,low-iq,10960,39
39,low-iq,11080,40
40,low-iq,11080,41
41,low-iq,11040,42
42,low-iq,11000,43
43,low-iq,11120,44
44,low-iq,11080,45
45,low-iq,11040,46
46,low-iq,11000,47
47,low-iq,11000,48
48,low-iq,11120,49
49,low-iq,11080,50
50,low-iq,11160,51
51,low-iq,11120,52
52,low-iq,11080,53
53,low-iq,11040,54
54,low-iq,11020,55
55,low-iq,11020,56
56,low-iq,11100,57
57,low-iq,11060,58
58,low-iq,11020,59
59,low-iq,10980,60
60,low-iq,10940,61
61,low-iq,11060,62
62,low-iq,11040,63
63,low-iq,11000,64
64,low-iq,10960,65
65,low-iq,10920,66
66,low-iq,10880,67
67,low-iq,10840,68
68,low-iq,10800,69
69,low-iq,10760,70
70,low-iq,10720,71
71,low-iq,10720,72
72,low-iq,10720,73
73,low-iq,10680,74
74,low-iq,10640,75
75,low-iq,10600,76
76,low-iq,10720,77
77,low-iq,10680,78
78,low-iq,10720,79
79,low-iq,10680,80
80,low-iq,10780,81
81,low-iq,10740,82
82,low-iq,10700,83
83,low-iq,10820,84
84,low-iq,10920,85
85,low-iq,10960,86
86,low-iq,10920,87
87,low-iq,10880,88
88,low-iq,10940,89
89,low-iq,11020,90
90,low-iq,11060,91
91,low-iq,11060,92
92,low-iq,11020,93
93,low-iq,10980,94
94,low-iq,10940,95
95,low-iq,11060,96
96,low-iq,11020,97
97,low-iq,10980,98
98,low-iq,10960,99
99,low-iq,11080,100
100,low-iq,11180,101
101,low-iq,11140,102
102,low-iq,11120,103
103,low-iq,11120,104
104,low-iq,11080,105
105,low-iq,11040,106
106,low-iq,11080,107
107,low-iq,11040,108
108,low-iq,11040,109
109,low-iq,11000,110
110,low-iq,10980,111
111,low-iq,10940,112
112,low-iq,10940,113
113,low-iq,11020,114
114,low-iq,10980,115
115,low-iq,10940,116
116,low-iq,10900,117
117,low-iq,11000,118
118,low-iq,10980,119
119,low-iq,10940,120
120,low-iq,11020,121
121,low-iq,10980,122
122,low-iq,10960,123
123,low-iq,10920,124
124,low-iq,11020,125
125,low-iq,10980,126
126,low-iq,10940,127
127,low-iq,10940,128
128,low-iq,10940,129
129,low-iq,11060,130
130,low-iq,11020,131
131,low-iq,11140,132
132,low-iq,11100,133
133,low-iq,11060,134
134,low-iq,11180,135
135,low-iq,11180,136
136,low-iq,11180,137
137,low-iq,11140,138
138,low-iq,11100,139
139,low-iq,11180,140
140,low-iq,11180,141
141,low-iq,11140,142
142,low-iq,11100,143
143,low-iq,11100,144
144,low-iq,11220,145
145,low-iq,11180,146
146,low-iq,11160,147
147,low-iq,11120,148
148,low-iq,11080,149
149,low-iq,11040,150
150,low-iq,11020,151
151,low-iq,11140,152
152,low-iq,11100,153
153,low-iq,11180,154
154,low-iq,11140,155
