,uuid,stack,round
0,low-iq2,9960,1
1,low-iq2,9920,2
2,low-iq2,9920,3
3,low-iq2,9880,4
4,low-iq2,9840,5
5,low-iq2,9920,6
6,low-iq2,9880,7
7,low-iq2,9840,8
8,low-iq2,9800,9
9,low-iq2,9780,10
10,low-iq2,9900,11
11,low-iq2,9860,12
12,low-iq2,9820,13
13,low-iq2,9940,14
14,low-iq2,9900,15
15,low-iq2,9860,16
16,low-iq2,9820,17
17,low-iq2,9800,18
18,low-iq2,9800,19
19,low-iq2,9760,20
20,low-iq2,9720,21
21,low-iq2,9840,22
22,low-iq2,9800,23
23,low-iq2,9800,24
24,low-iq2,9760,25
25,low-iq2,9740,26
26,low-iq2,9700,27
27,low-iq2,9660,28
28,low-iq2,9620,29
29,low-iq2,9740,30
30,low-iq2,9700,31
31,low-iq2,9700,32
32,low-iq2,9660,33
33,low-iq2,9620,34
34,low-iq2,9740,35
35,low-iq2,9700,36
36,low-iq2,9660,37
37,low-iq2,9620,38
38,low-iq2,9580,39
39,low-iq2,9540,40
40,low-iq2,9500,41
41,low-iq2,9460,42
42,low-iq2,9580,43
43,low-iq2,9540,44
44,low-iq2,9560,45
45,low-iq2,9640,46
46,low-iq2,9640,47
47,low-iq2,9600,48
48,low-iq2,9680,49
49,low-iq2,9640,50
50,low-iq2,9740,51
51,low-iq2,9860,52
52,low-iq2,9820,53
53,low-iq2,9780,54
54,low-iq2,9740,55
55,low-iq2,9740,56
56,low-iq2,9700,57
57,low-iq2,9680,58
58,low-iq2,9680,59
59,low-iq2,9800,60
60,low-iq2,9760,61
61,low-iq2,9720,62
62,low-iq2,9680,63
63,low-iq2,9640,64
64,low-iq2,9600,65
65,low-iq2,9560,66
66,low-iq2,9520,67
67,low-iq2,9520,68
68,low-iq2,9480,69
69,low-iq2,9440,70
70,low-iq2,9400,71
71,low-iq2,9360,72
72,low-iq2,9440,73
73,low-iq2,9400,74
74,low-iq2,9520,75
75,low-iq2,9480,76
76,low-iq2,9600,77
77,low-iq2,9680,78
78,low-iq2,9780,79
79,low-iq2,9740,80
80,low-iq2,9700,81
81,low-iq2,9660,82
82,low-iq2,9760,83
83,low-iq2,9720,84
84,low-iq2,9760,85
85,low-iq2,9720,86
86,low-iq2,9720,87
87,low-iq2,9680,88
88,low-iq2,9640,89
89,low-iq2,9600,90
90,low-iq2,9560,91
91,low-iq2,9640,92
92,low-iq2,9600,93
93,low-iq2,9560,94
94,low-iq2,9560,95
95,low-iq2,9520,96
96,low-iq2,9480,97
97,low-iq2,9440,98
98,low-iq2,9400,99
99,low-iq2,9520,100
100,low-iq2,9480,101
101,low-iq2,9560,102
102,low-iq2,9520,103
103,low-iq2,9520,104
104,low-iq2,9480,105
105,low-iq2,9440,106
106,low-iq2,9440,107
107,low-iq2,9400,108
108,low-iq2,9520,109
109,low-iq2,9640,110
110,low-iq2,9600,111
111,low-iq2,9560,112
112,low-iq2,9520,113
113,low-iq2,9500,114
114,low-iq2,9500,115
115,low-iq2,9500,116
116,low-iq2,9460,117
117,low-iq2,9420,118
118,low-iq2,9520,119
119,low-iq2,9520,120
120,low-iq2,9480,121
121,low-iq2,9600,122
122,low-iq2,9680,123
123,low-iq2,9640,124
124,low-iq2,9600,125
125,low-iq2,9720,126
126,low-iq2,9680,127
127,low-iq2,9680,128
128,low-iq2,9640,129
129,low-iq2,9620,130
130,low-iq2,9720,131
131,low-iq2,9680,132
132,low-iq2,9800,133
133,low-iq2,9760,134
134,low-iq2,9760,135
135,low-iq2,9760,136
136,low-iq2,9720,137
137,low-iq2,9700,138
138,low-iq2,9700,139
139,low-iq2,9660,140
140,low-iq2,9620,141
141,low-iq2,9580,142
142,low-iq2,9580,143
143,low-iq2,9540,144
144,low-iq2,9500,145
145,low-iq2,9620,146
146,low-iq2,9580,147
147,low-iq2,9580,148
148,low-iq2,9700,149
149,low-iq2,9680,150
150,low-iq2,9800,151
151,low-iq2,9760,152
152,low-iq2,9860,153
153,low-iq2,9820,154
154,low-iq2,9820,155
155,low-iq2,9780,156
156,low-iq2,9840,157
157,low-iq2,9800,158
158,low-iq2,9900,159
159,low-iq2,10020,160
160,low-iq2,9980,161
161,low-iq2,9940,162
162,low-iq2,9900,163
