,uuid,stack,round
0,high-iq,10000,1
1,high-iq,10000,2
2,high-iq,10060,3
3,high-iq,10100,4
4,high-iq,10180,5
5,high-iq,10240,6
6,high-iq,10200,7
7,high-iq,10180,8
8,high-iq,10280,9
9,high-iq,10340,10
10,high-iq,10300,11
11,high-iq,10340,12
12,high-iq,10420,13
13,high-iq,10500,14
14,high-iq,10520,15
15,high-iq,10600,16
16,high-iq,10660,17
17,high-iq,10620,18
18,high-iq,10680,19
19,high-iq,10760,20
20,high-iq,10880,21
21,high-iq,10960,22
22,high-iq,10980,23
23,high-iq,11020,24
24,high-iq,11020,25
25,high-iq,11080,26
26,high-iq,11100,27
27,high-iq,11180,28
28,high-iq,11240,29
29,high-iq,11240,30
30,high-iq,11200,31
31,high-iq,11280,32
32,high-iq,11340,33
33,high-iq,11400,34
34,high-iq,11440,35
35,high-iq,11480,36
36,high-iq,11540,37
37,high-iq,11620,38
38,high-iq,11580,39
39,high-iq,11540,40
40,high-iq,11500,41
41,high-iq,11460,42
42,high-iq,11560,43
43,high-iq,11640,44
44,high-iq,11700,45
45,high-iq,11660,46
46,high-iq,11620,47
47,high-iq,11600,48
48,high-iq,11600,49
49,high-iq,11660,50
50,high-iq,11720,51
51,high-iq,11680,52
52,high-iq,11740,53
53,high-iq,11800,54
54,high-iq,11860,55
55,high-iq,11900,56
56,high-iq,11900,57
57,high-iq,11980,58
58,high-iq,12000,59
59,high-iq,12040,60
60,high-iq,12040,61
61,high-iq,12120,62
62,high-iq,12080,63
63,high-iq,12060,64
64,high-iq,12120,65
65,high-iq,12080,66
66,high-iq,12200,67
67,high-iq,12240,68
68,high-iq,12200,69
69,high-iq,12280,70
70,high-iq,12300,71
71,high-iq,12280,72
72,high-iq,12340,73
73,high-iq,12420,74
74,high-iq,12440,75
75,high-iq,12480,76
76,high-iq,12560,77
77,high-iq,12620,78
78,high-iq,12640,79
79,high-iq,12620,80
80,high-iq,12700,81
81,high-iq,12820,82
82,high-iq,12780,83
83,high-iq,12760,84
84,high-iq,12720,85
85,high-iq,12680,86
86,high-iq,12700,87
87,high-iq,12680,88
88,high-iq,12800,89
89,high-iq,12860,90
90,high-iq,12900,91
91,high-iq,12860,92
92,high-iq,12860,93
93,high-iq,12960,94
94,high-iq,12980,95
95,high-iq,13060,96
96,high-iq,13160,97
97,high-iq,13220,98
98,high-iq,13240,99
99,high-iq,13280,100
100,high-iq,13340,101
101,high-iq,13400,102
102,high-iq,13360,103
103,high-iq,13440,104
104,high-iq,13500,105
105,high-iq,13460,106
106,high-iq,13480,107
107,high-iq,13440,108
108,high-iq,13500,109
109,high-iq,13560,110
110,high-iq,13600,111
111,high-iq,13560,112
112,high-iq,13620,113
113,high-iq,13620,114
114,high-iq,13580,115
115,high-iq,13620,116
116,high-iq,13680,117
117,high-iq,13740,118
118,high-iq,13780,119
119,high-iq,13740,120
120,high-iq,13740,121
121,high-iq,13800,122
122,high-iq,13820,123
123,high-iq,13860,124
124,high-iq,13820,125
125,high-iq,13880,126
126,high-iq,13940,127
127,high-iq,13980,128
128,high-iq,13940,129
129,high-iq,14000,130
130,high-iq,13960,131
131,high-iq,14000,132
132,high-iq,14060,133
133,high-iq,14020,134
134,high-iq,14040,135
135,high-iq,14000,136
136,high-iq,14000,137
137,high-iq,13960,138
138,high-iq,13980,139
139,high-iq,13960,140
140,high-iq,14060,141
141,high-iq,14140,142
142,high-iq,14160,143
143,high-iq,14120,144
144,high-iq,14200,145
145,high-iq,14200,146
146,high-iq,14160,147
147,high-iq,14200,148
148,high-iq,14200,149
149,high-iq,14260,150
150,high-iq,14280,151
151,high-iq,14320,152
152,high-iq,14400,153
153,high-iq,14460,154
154,high-iq,14420,155
155,high-iq,14460,156
156,high-iq,14460,157
157,high-iq,14520,158
158,high-iq,14540,159
159,high-iq,14500,160
160,high-iq,14560,161
161,high-iq,14620,162
162,high-iq,14640,163
163,high-iq,14600,164
164,high-iq,14600,165
165,high-iq,14660,166
166,high-iq,14760,167
167,high-iq,14800,168
168,high-iq,14860,169
169,high-iq,14920,170
170,high-iq,14880,171
