,uuid,stack,round
0,low-iq,9960,1
1,low-iq,9920,2
2,low-iq,10000,3
3,low-iq,10120,4
4,low-iq,10080,5
5,low-iq,10040,6
6,low-iq,10020,7
7,low-iq,10140,8
8,low-iq,10140,9
9,low-iq,10100,10
10,low-iq,10060,11
11,low-iq,10020,12
12,low-iq,10140,13
13,low-iq,10100,14
14,low-iq,10080,15
15,low-iq,10180,16
16,low-iq,10140,17
17,low-iq,10100,18
18,low-iq,10060,19
19,low-iq,10180,20
20,low-iq,10180,21
21,low-iq,10140,22
22,low-iq,10120,23
23,low-iq,10200,24
24,low-iq,10200,25
25,low-iq,10160,26
26,low-iq,10280,27
27,low-iq,10400,28
28,low-iq,10360,29
29,low-iq,10320,30
30,low-iq,10280,31
31,low-iq,10240,32
32,low-iq,10340,33
33,low-iq,10420,34
34,low-iq,10380,35
35,low-iq,10380,36
36,low-iq,10340,37
37,low-iq,10300,38
38,low-iq,10260,39
39,low-iq,10220,40
40,low-iq,10180,41
41,low-iq,10260,42
42,low-iq,10220,43
43,low-iq,10320,44
44,low-iq,10320,45
45,low-iq,10280,46
46,low-iq,10240,47
47,low-iq,10200,48
48,low-iq,10200,49
49,low-iq,10160,50
50,low-iq,10140,51
51,low-iq,10100,52
52,low-iq,10060,53
53,low-iq,10180,54
54,low-iq,10300,55
55,low-iq,10380,56
56,low-iq,10500,57
57,low-iq,10460,58
58,low-iq,10440,59
59,low-iq,10400,60
60,low-iq,10360,61
61,low-iq,10320,62
62,low-iq,10280,63
63,low-iq,10240,64
64,low-iq,10200,65
65,low-iq,10160,66
66,low-iq,10280,67
67,low-iq,10340,68
68,low-iq,10340,69
69,low-iq,10460,70
70,low-iq,10420,71
71,low-iq,10420,72
72,low-iq,10420,73
73,low-iq,10380,74
74,low-iq,10340,75
75,low-iq,10300,76
76,low-iq,10260,77
77,low-iq,10220,78
78,low-iq,10200,79
79,low-iq,10160,80
80,low-iq,10260,81
81,low-iq,10220,82
82,low-iq,10200,83
83,low-iq,10160,84
84,low-iq,10160,85
