,uuid,stack,round
0,high-iq,10100,1
1,high-iq,10160,2
2,high-iq,10180,3
3,high-iq,10260,4
4,high-iq,10260,5
5,high-iq,10260,6
6,high-iq,10280,7
7,high-iq,10240,8
8,high-iq,10300,9
9,high-iq,10360,10
10,high-iq,10320,11
11,high-iq,10440,12
12,high-iq,10500,13
13,high-iq,10560,14
14,high-iq,10600,15
15,high-iq,10560,16
16,high-iq,10640,17
17,high-iq,10700,18
18,high-iq,10720,19
19,high-iq,10680,20
20,high-iq,10740,21
21,high-iq,10800,22
22,high-iq,10760,23
23,high-iq,10840,24
24,high-iq,10940,25
25,high-iq,11000,26
26,high-iq,10960,27
27,high-iq,10940,28
28,high-iq,11000,29
29,high-iq,11080,30
30,high-iq,11100,31
31,high-iq,11060,32
32,high-iq,11120,33
33,high-iq,11180,34
34,high-iq,11200,35
35,high-iq,11180,36
36,high-iq,11140,37
37,high-iq,11220,38
38,high-iq,11320,39
39,high-iq,11300,40
40,high-iq,11400,41
41,high-iq,11480,42
42,high-iq,11440,43
43,high-iq,11520,44
44,high-iq,11580,45
45,high-iq,11640,46
46,high-iq,11600,47
47,high-iq,11640,48
48,high-iq,11700,49
49,high-iq,11780,50
50,high-iq,11740,51
51,high-iq,11780,52
52,high-iq,11840,53
53,high-iq,11800,54
54,high-iq,11900,55
55,high-iq,11880,56
56,high-iq,11880,57
57,high-iq,11940,58
58,high-iq,11900,59
59,high-iq,11940,60
60,high-iq,12040,61
61,high-iq,12040,62
62,high-iq,12120,63
63,high-iq,12200,64
64,high-iq,12260,65
65,high-iq,12260,66
66,high-iq,12320,67
67,high-iq,12360,68
68,high-iq,12420,69
69,high-iq,12420,70
70,high-iq,12460,71
71,high-iq,12440,72
72,high-iq,12500,73
73,high-iq,12500,74
74,high-iq,12520,75
75,high-iq,12600,76
76,high-iq,12660,77
77,high-iq,12720,78
78,high-iq,12780,79
79,high-iq,12740,80
80,high-iq,12840,81
81,high-iq,12900,82
82,high-iq,12860,83
83,high-iq,12900,84
84,high-iq,12860,85
85,high-iq,12920,86
86,high-iq,12940,87
87,high-iq,12980,88
88,high-iq,13060,89
89,high-iq,13180,90
90,high-iq,13200,91
91,high-iq,13280,92
92,high-iq,13360,93
93,high-iq,13420,94
94,high-iq,13440,95
95,high-iq,13420,96
96,high-iq,13500,97
97,high-iq,13460,98
98,high-iq,13520,99
99,high-iq,13480,100
100,high-iq,13540,101
101,high-iq,13600,102
102,high-iq,13660,103
103,high-iq,13740,104
104,high-iq,13740,105
105,high-iq,13800,106
106,high-iq,13760,107
107,high-iq,13740,108
108,high-iq,13800,109
109,high-iq,13860,110
110,high-iq,13820,111
111,high-iq,13940,112
112,high-iq,14000,113
113,high-iq,14100,114
114,high-iq,14120,115
115,high-iq,14080,116
116,high-iq,14140,117
117,high-iq,14240,118
118,high-iq,14300,119
119,high-iq,14280,120
120,high-iq,14360,121
121,high-iq,14360,122
122,high-iq,14420,123
123,high-iq,14460,124
124,high-iq,14540,125
125,high-iq,14600,126
126,high-iq,14620,127
127,high-iq,14580,128
128,high-iq,14540,129
129,high-iq,14600,130
130,high-iq,14560,131
131,high-iq,14640,132
132,high-iq,14700,133
