,uuid,stack,round
0,low-iq,9960,1
1,low-iq,9980,2
2,low-iq,9940,3
3,low-iq,9940,4
4,low-iq,9940,5
5,low-iq,9900,6
6,low-iq,9940,7
7,low-iq,9940,8
8,low-iq,9940,9
9,low-iq,9900,10
10,low-iq,9880,11
11,low-iq,9940,12
12,low-iq,10040,13
13,low-iq,10000,14
14,low-iq,9980,15
15,low-iq,9980,16
16,low-iq,9980,17
17,low-iq,9940,18
18,low-iq,9920,19
19,low-iq,9980,20
20,low-iq,9980,21
21,low-iq,10000,22
22,low-iq,9980,23
23,low-iq,10040,24
24,low-iq,10040,25
25,low-iq,10000,26
26,low-iq,9960,27
27,low-iq,9920,28
28,low-iq,9980,29
29,low-iq,9940,30
30,low-iq,9920,31
31,low-iq,10040,32
32,low-iq,10040,33
33,low-iq,10000,34
34,low-iq,9980,35
35,low-iq,9980,36
36,low-iq,9980,37
37,low-iq,9940,38
38,low-iq,9920,39
39,low-iq,9920,40
40,low-iq,9920,41
41,low-iq,9880,42
42,low-iq,9860,43
43,low-iq,9820,44
44,low-iq,9780,45
45,low-iq,9740,46
46,low-iq,9820,47
47,low-iq,9820,48
48,low-iq,9820,49
49,low-iq,9780,50
50,low-iq,9760,51
51,low-iq,9760,52
52,low-iq,9760,53
53,low-iq,9720,54
54,low-iq,9700,55
55,low-iq,9700,56
56,low-iq,9800,57
57,low-iq,9760,58
58,low-iq,9740,59
59,low-iq,9740,60
60,low-iq,9700,61
61,low-iq,9660,62
62,low-iq,9640,63
63,low-iq,9760,64
64,low-iq,9760,65
65,low-iq,9720,66
66,low-iq,9700,67
67,low-iq,9660,68
68,low-iq,9660,69
69,low-iq,9620,70
70,low-iq,9600,71
71,low-iq,9600,72
72,low-iq,9600,73
73,low-iq,9560,74
74,low-iq,9520,75
75,low-iq,9520,76
76,low-iq,9480,77
77,low-iq,9440,78
78,low-iq,9480,79
79,low-iq,9480,80
80,low-iq,9480,81
81,low-iq,9440,82
82,low-iq,9420,83
83,low-iq,9420,84
84,low-iq,9420,85
85,low-iq,9380,86
86,low-iq,9360,87
87,low-iq,9360,88
88,low-iq,9360,89
89,low-iq,9320,90
90,low-iq,9300,91
91,low-iq,9300,92
92,low-iq,9300,93
93,low-iq,9260,94
94,low-iq,9240,95
95,low-iq,9240,96
96,low-iq,9200,97
97,low-iq,9160,98
98,low-iq,9120,99
99,low-iq,9120,100
100,low-iq,9120,101
101,low-iq,9080,102
102,low-iq,9040,103
103,low-iq,9040,104
104,low-iq,9040,105
105,low-iq,9000,106
106,low-iq,8980,107
107,low-iq,8980,108
108,low-iq,9040,109
109,low-iq,9060,110
110,low-iq,9040,111
111,low-iq,9040,112
112,low-iq,9040,113
113,low-iq,9000,114
114,low-iq,8980,115
115,low-iq,8980,116
116,low-iq,8980,117
117,low-iq,8940,118
118,low-iq,8920,119
119,low-iq,8920,120
120,low-iq,8920,121
121,low-iq,8880,122
122,low-iq,8860,123
123,low-iq,8860,124
124,low-iq,8820,125
125,low-iq,8860,126
126,low-iq,8840,127
127,low-iq,8840,128
128,low-iq,8840,129
129,low-iq,8800,130
130,low-iq,8840,131
131,low-iq,8960,132
132,low-iq,8960,133
133,low-iq,8980,134
134,low-iq,8960,135
135,low-iq,8960,136
136,low-iq,9060,137
137,low-iq,9020,138
138,low-iq,9000,139
139,low-iq,9060,140
140,low-iq,9020,141
141,low-iq,8980,142
142,low-iq,9020,143
143,low-iq,9020,144
144,low-iq,9020,145
145,low-iq,8980,146
146,low-iq,8960,147
147,low-iq,9020,148
148,low-iq,9020,149
149,low-iq,8980,150
150,low-iq,8960,151
151,low-iq,8960,152
152,low-iq,8920,153
153,low-iq,8880,154
154,low-iq,8840,155
155,low-iq,8840,156
156,low-iq,8800,157
157,low-iq,8860,158
158,low-iq,8840,159
159,low-iq,8840,160
160,low-iq,8840,161
161,low-iq,8800,162
162,low-iq,8780,163
163,low-iq,8740,164
164,low-iq,8700,165
165,low-iq,8660,166
166,low-iq,8640,167
167,low-iq,8640,168
168,low-iq,8640,169
169,low-iq,8600,170
170,low-iq,8580,171
171,low-iq,8580,172
172,low-iq,8580,173
173,low-iq,8540,174
174,low-iq,8580,175
175,low-iq,8580,176
176,low-iq,8580,177
177,low-iq,8540,178
178,low-iq,8520,179
179,low-iq,8520,180
180,low-iq,8480,181
181,low-iq,8500,182
182,low-iq,8480,183
183,low-iq,8480,184
184,low-iq,8480,185
185,low-iq,8440,186
186,low-iq,8520,187
187,low-iq,8520,188
188,low-iq,8520,189
189,low-iq,8480,190
190,low-iq,8460,191
191,low-iq,8460,192
192,low-iq,8460,193
193,low-iq,8420,194
194,low-iq,8400,195
195,low-iq,8360,196
196,low-iq,8360,197
197,low-iq,8320,198
198,low-iq,8280,199
199,low-iq,8240,200
200,low-iq,8300,201
201,low-iq,8260,202
202,low-iq,8240,203
203,low-iq,8240,204
204,low-iq,8240,205
205,low-iq,8200,206
