,uuid,stack,round
0,high-iq,9960,1
1,high-iq,9920,2
2,high-iq,9880,3
3,high-iq,10000,4
4,high-iq,10120,5
5,high-iq,10120,6
6,high-iq,10220,7
7,high-iq,10180,8
8,high-iq,10300,9
9,high-iq,10260,10
10,high-iq,10220,11
11,high-iq,10200,12
12,high-iq,10160,13
13,high-iq,10160,14
14,high-iq,10120,15
15,high-iq,10080,16
16,high-iq,10040,17
17,high-iq,10140,18
18,high-iq,10100,19
19,high-iq,10060,20
20,high-iq,10020,21
21,high-iq,9980,22
22,high-iq,9940,23
23,high-iq,9900,24
24,high-iq,9900,25
25,high-iq,9900,26
26,high-iq,9860,27
27,high-iq,9820,28
28,high-iq,9780,29
29,high-iq,9780,30
30,high-iq,9740,31
31,high-iq,9820,32
32,high-iq,9780,33
33,high-iq,9740,34
34,high-iq,9700,35
35,high-iq,9680,36
36,high-iq,9640,37
37,high-iq,9600,38
38,high-iq,9560,39
39,high-iq,9520,40
40,high-iq,9640,41
41,high-iq,9600,42
42,high-iq,9560,43
43,high-iq,9520,44
44,high-iq,9480,45
45,high-iq,9440,46
46,high-iq,9540,47
47,high-iq,9500,48
48,high-iq,9460,49
49,high-iq,9420,50
50,high-iq,9380,51
51,high-iq,9360,52
52,high-iq,9360,53
53,high-iq,9360,54
54,high-iq,9320,55
55,high-iq,9300,56
56,high-iq,9420,57
57,high-iq,9380,58
58,high-iq,9340,59
59,high-iq,9420,60
60,high-iq,9380,61
61,high-iq,9380,62
62,high-iq,9340,63
63,high-iq,9300,64
64,high-iq,9300,65
65,high-iq,9360,66
66,high-iq,9460,67
67,high-iq,9420,68
68,high-iq,9420,69
69,high-iq,9520,70
70,high-iq,9620,71
71,high-iq,9580,72
72,high-iq,9640,73
73,high-iq,9700,74
74,high-iq,9660,75
75,high-iq,9640,76
76,high-iq,9760,77
77,high-iq,9720,78
78,high-iq,9680,79
79,high-iq,9640,80
80,high-iq,9600,81
81,high-iq,9560,82
82,high-iq,9520,83
83,high-iq,9500,84
84,high-iq,9600,85
85,high-iq,9560,86
86,high-iq,9520,87
87,high-iq,9480,88
88,high-iq,9440,89
89,high-iq,9440,90
90,high-iq,9400,91
91,high-iq,9360,92
92,high-iq,9480,93
93,high-iq,9440,94
94,high-iq,9400,95
95,high-iq,9360,96
96,high-iq,9320,97
97,high-iq,9280,98
98,high-iq,9240,99
99,high-iq,9360,100
100,high-iq,9320,101
101,high-iq,9280,102
102,high-iq,9240,103
103,high-iq,9200,104
104,high-iq,9320,105
105,high-iq,9280,106
106,high-iq,9240,107
107,high-iq,9200,108
108,high-iq,9160,109
109,high-iq,9160,110
110,high-iq,9240,111
111,high-iq,9220,112
112,high-iq,9220,113
113,high-iq,9300,114
114,high-iq,9380,115
115,high-iq,9340,116
116,high-iq,9300,117
117,high-iq,9260,118
118,high-iq,9220,119
119,high-iq,9200,120
120,high-iq,9280,121
121,high-iq,9280,122
122,high-iq,9240,123
123,high-iq,9200,124
124,high-iq,9200,125
125,high-iq,9200,126
126,high-iq,9160,127
127,high-iq,9200,128
128,high-iq,9160,129
129,high-iq,9120,130
130,high-iq,9220,131
131,high-iq,9200,132
132,high-iq,9320,133
133,high-iq,9320,134
134,high-iq,9400,135
135,high-iq,9360,136
136,high-iq,9480,137
137,high-iq,9480,138
138,high-iq,9440,139
139,high-iq,9400,140
140,high-iq,9500,141
141,high-iq,9560,142
142,high-iq,9520,143
143,high-iq,9480,144
144,high-iq,9580,145
145,high-iq,9540,146
146,high-iq,9620,147
147,high-iq,9600,148
148,high-iq,9600,149
149,high-iq,9560,150
150,high-iq,9520,151
151,high-iq,9480,152
152,high-iq,9540,153
153,high-iq,9500,154
154,high-iq,9460,155
155,high-iq,9540,156
156,high-iq,9500,157
157,high-iq,9460,158
158,high-iq,9420,159
159,high-iq,9380,160
160,high-iq,9340,161
161,high-iq,9420,162
162,high-iq,9380,163
163,high-iq,9360,164
164,high-iq,9320,165
165,high-iq,9440,166
166,high-iq,9460,167
167,high-iq,9420,168
168,high-iq,9520,169
169,high-iq,9520,170
170,high-iq,9480,171
171,high-iq,9440,172
172,high-iq,9540,173
173,high-iq,9500,174
174,high-iq,9460,175
175,high-iq,9420,176
176,high-iq,9380,177
177,high-iq,9380,178
178,high-iq,9340,179
179,high-iq,9300,180
180,high-iq,9260,181
181,high-iq,9220,182
182,high-iq,9300,183
183,high-iq,9260,184
184,high-iq,9220,185
185,high-iq,9180,186
186,high-iq,9300,187
187,high-iq,9260,188
188,high-iq,9220,189
189,high-iq,9220,190
190,high-iq,9180,191
191,high-iq,9220,192
192,high-iq,9340,193
193,high-iq,9460,194
194,high-iq,9420,195
195,high-iq,9540,196
196,high-iq,9500,197
197,high-iq,9460,198
198,high-iq,9420,199
199,high-iq,9500,200
200,high-iq,9580,201
201,high-iq,9540,202
202,high-iq,9500,203
203,high-iq,9460,204
204,high-iq,9580,205
205,high-iq,9540,206
206,high-iq,9500,207
207,high-iq,9460,208
208,high-iq,9540,209
209,high-iq,9600,210
210,high-iq,9560,211
211,high-iq,9540,212
212,high-iq,9500,213
213,high-iq,9500,214
214,high-iq,9460,215
215,high-iq,9420,216
216,high-iq,9540,217
217,high-iq,9500,218
218,high-iq,9460,219
219,high-iq,9440,220
220,high-iq,9440,221
221,high-iq,9560,222
222,high-iq,9520,223
223,high-iq,9500,224
224,high-iq,9460,225
225,high-iq,9420,226
226,high-iq,9380,227
227,high-iq,9360,228
228,high-iq,9360,229
229,high-iq,9460,230
230,high-iq,9420,231
231,high-iq,9400,232
232,high-iq,9460,233
233,high-iq,9420,234
234,high-iq,9380,235
235,high-iq,9340,236
236,high-iq,9340,237
237,high-iq,9300,238
238,high-iq,9260,239
239,high-iq,9240,240
240,high-iq,9320,241
241,high-iq,9280,242
242,high-iq,9240,243
243,high-iq,9200,244
244,high-iq,9200,245
245,high-iq,9160,246
246,high-iq,9120,247
247,high-iq,9080,248
248,high-iq,9040,249
249,high-iq,9000,250
250,high-iq,9080,251
251,high-iq,9040,252
252,high-iq,9000,253
253,high-iq,9000,254
254,high-iq,8960,255
255,high-iq,8920,256
256,high-iq,9040,257
257,high-iq,9000,258
258,high-iq,8960,259
259,high-iq,8920,260
260,high-iq,8880,261
261,high-iq,8980,262
262,high-iq,8940,263
263,high-iq,9060,264
264,high-iq,9020,265
265,high-iq,9140,266
266,high-iq,9260,267
267,high-iq,9240,268
268,high-iq,9240,269
269,high-iq,9200,270
270,high-iq,9280,271
271,high-iq,9260,272
272,high-iq,9340,273
273,high-iq,9460,274
274,high-iq,9480,275
275,high-iq,9440,276
276,high-iq,9440,277
277,high-iq,9400,278
278,high-iq,9360,279
279,high-iq,9400,280
280,high-iq,9400,281
281,high-iq,9360,282
282,high-iq,9320,283
283,high-iq,9440,284
284,high-iq,9400,285
285,high-iq,9520,286
286,high-iq,9480,287
287,high-iq,9440,288
288,high-iq,9400,289
289,high-iq,9360,290
290,high-iq,9320,291
291,high-iq,9280,292
292,high-iq,9340,293
293,high-iq,9340,294
294,high-iq,9300,295
295,high-iq,9380,296
296,high-iq,9380,297
297,high-iq,9380,298
298,high-iq,9340,299
299,high-iq,9420,300
300,high-iq,9420,301
301,high-iq,9380,302
302,high-iq,9340,303
303,high-iq,9320,304
304,high-iq,9280,305
305,high-iq,9240,306
306,high-iq,9200,307
307,high-iq,9160,308
308,high-iq,9220,309
309,high-iq,9340,310
310,high-iq,9420,311
311,high-iq,9500,312
312,high-iq,9500,313
313,high-iq,9460,314
314,high-iq,9500,315
315,high-iq,9480,316
316,high-iq,9440,317
317,high-iq,9400,318
318,high-iq,9480,319
319,high-iq,9560,320
320,high-iq,9520,321
321,high-iq,9480,322
322,high-iq,9500,323
323,high-iq,9620,324
324,high-iq,9680,325
325,high-iq,9680,326
326,high-iq,9640,327
327,high-iq,9600,328
328,high-iq,9600,329
329,high-iq,9720,330
330,high-iq,9680,331
331,high-iq,9760,332
332,high-iq,9860,333
333,high-iq,9980,334
334,high-iq,9940,335
335,high-iq,9900,336
336,high-iq,9900,337
337,high-iq,9900,338
338,high-iq,9860,339
339,high-iq,9840,340
340,high-iq,9940,341
341,high-iq,10020,342
342,high-iq,10100,343
343,high-iq,10180,344
344,high-iq,10180,345
345,high-iq,10140,346
346,high-iq,10100,347
347,high-iq,10060,348
348,high-iq,10120,349
349,high-iq,10080,350
350,high-iq,10040,351
351,high-iq,10160,352
352,high-iq,10120,353
353,high-iq,10080,354
354,high-iq,10200,355
355,high-iq,10280,356
356,high-iq,10400,357
357,high-iq,10400,358
358,high-iq,10420,359
359,high-iq,10540,360
360,high-iq,10660,361
361,high-iq,10620,362
362,high-iq,10580,363
363,high-iq,10560,364
364,high-iq,10680,365
365,high-iq,10740,366
366,high-iq,10700,367
367,high-iq,10680,368
368,high-iq,10640,369
369,high-iq,10720,370
370,high-iq,10820,371
371,high-iq,10780,372
372,high-iq,10780,373
373,high-iq,10740,374
374,high-iq,10700,375
375,high-iq,10820,376
376,high-iq,10780,377
377,high-iq,10740,378
378,high-iq,10700,379
379,high-iq,10680,380
380,high-iq,10780,381
381,high-iq,10740,382
382,high-iq,10780,383
383,high-iq,10740,384
384,high-iq,10700,385
385,high-iq,10800,386
386,high-iq,10760,387
387,high-iq,10720,388
388,high-iq,10820,389
389,high-iq,10780,390
390,high-iq,10740,391
391,high-iq,10700,392
392,high-iq,10700,393
393,high-iq,10660,394
394,high-iq,10760,395
395,high-iq,10720,396
396,high-iq,10840,397
397,high-iq,10940,398
398,high-iq,10900,399
399,high-iq,10860,400
400,high-iq,10860,401
401,high-iq,10980,402
402,high-iq,11100,403
