,uuid,stack,round
0,low-iq,10000,1
1,low-iq,10060,2
2,low-iq,10040,3
3,low-iq,10040,4
4,low-iq,10040,5
5,low-iq,10000,6
6,low-iq,9980,7
7,low-iq,9940,8
8,low-iq,9900,9
9,low-iq,9860,10
10,low-iq,9840,11
11,low-iq,9840,12
12,low-iq,9840,13
13,low-iq,9800,14
14,low-iq,9780,15
15,low-iq,9740,16
16,low-iq,9740,17
17,low-iq,9820,18
18,low-iq,9800,19
19,low-iq,9760,20
20,low-iq,9720,21
21,low-iq,9680,22
22,low-iq,9660,23
23,low-iq,9660,24
24,low-iq,9720,25
25,low-iq,9680,26
26,low-iq,9660,27
27,low-iq,9660,28
28,low-iq,9660,29
29,low-iq,9680,30
30,low-iq,9660,31
31,low-iq,9620,32
32,low-iq,9620,33
33,low-iq,9580,34
34,low-iq,9540,35
35,low-iq,9540,36
36,low-iq,9540,37
37,low-iq,9500,38
38,low-iq,9480,39
39,low-iq,9480,40
40,low-iq,9580,41
41,low-iq,9640,42
42,low-iq,9620,43
43,low-iq,9620,44
44,low-iq,9620,45
45,low-iq,9580,46
46,low-iq,9560,47
47,low-iq,9560,48
48,low-iq,9560,49
49,low-iq,9520,50
50,low-iq,9500,51
51,low-iq,9580,52
52,low-iq,9580,53
53,low-iq,9540,54
54,low-iq,9520,55
55,low-iq,9520,56
56,low-iq,9580,57
57,low-iq,9540,58
58,low-iq,9520,59
59,low-iq,9520,60
60,low-iq,9600,61
61,low-iq,9560,62
62,low-iq,9540,63
63,low-iq,9540,64
64,low-iq,9540,65
65,low-iq,9500,66
66,low-iq,9460,67
67,low-iq,9460,68
68,low-iq,9460,69
69,low-iq,9420,70
70,low-iq,9400,71
71,low-iq,9460,72
72,low-iq,9460,73
73,low-iq,9420,74
74,low-iq,9400,75
75,low-iq,9400,76
76,low-iq,9400,77
77,low-iq,9360,78
78,low-iq,9340,79
79,low-iq,9340,80
80,low-iq,9340,81
81,low-iq,9300,82
82,low-iq,9280,83
83,low-iq,9280,84
84,low-iq,9280,85
85,low-iq,9240,86
86,low-iq,9220,87
87,low-iq,9220,88
88,low-iq,9180,89
89,low-iq,9140,90
90,low-iq,9100,91
91,low-iq,9100,92
92,low-iq,9160,93
