,uuid,stack,round
0,low-iq2,9960,1
1,low-iq2,9920,2
2,low-iq2,9880,3
3,low-iq2,10000,4
4,low-iq2,9960,5
5,low-iq2,9920,6
6,low-iq2,9980,7
7,low-iq2,10100,8
8,low-iq2,10060,9
9,low-iq2,10040,10
10,low-iq2,10040,11
11,low-iq2,10000,12
12,low-iq2,9960,13
13,low-iq2,9920,14
14,low-iq2,9880,15
15,low-iq2,9840,16
16,low-iq2,9960,17
17,low-iq2,9920,18
18,low-iq2,9880,19
19,low-iq2,9880,20
20,low-iq2,9840,21
21,low-iq2,9920,22
22,low-iq2,9880,23
23,low-iq2,9840,24
24,low-iq2,9800,25
25,low-iq2,9840,26
26,low-iq2,9800,27
27,low-iq2,9900,28
28,low-iq2,9860,29
29,low-iq2,9980,30
30,low-iq2,10100,31
31,low-iq2,10060,32
32,low-iq2,10020,33
33,low-iq2,9980,34
34,low-iq2,9980,35
35,low-iq2,9940,36
36,low-iq2,9900,37
37,low-iq2,9860,38
38,low-iq2,9980,39
39,low-iq2,9980,40
40,low-iq2,9940,41
41,low-iq2,9920,42
42,low-iq2,9880,43
43,low-iq2,9880,44
44,low-iq2,9840,45
45,low-iq2,9820,46
46,low-iq2,9780,47
47,low-iq2,9780,48
48,low-iq2,9880,49
49,low-iq2,10000,50
50,low-iq2,9960,51
51,low-iq2,10060,52
52,low-iq2,10020,53
53,low-iq2,9980,54
54,low-iq2,10080,55
55,low-iq2,10200,56
56,low-iq2,10160,57
57,low-iq2,10280,58
58,low-iq2,10380,59
59,low-iq2,10340,60
60,low-iq2,10300,61
61,low-iq2,10260,62
62,low-iq2,10380,63
63,low-iq2,10340,64
64,low-iq2,10440,65
65,low-iq2,10560,66
66,low-iq2,10520,67
67,low-iq2,10640,68
68,low-iq2,10600,69
69,low-iq2,10580,70
70,low-iq2,10540,71
71,low-iq2,10500,72
72,low-iq2,10580,73
73,low-iq2,10540,74
74,low-iq2,10540,75
75,low-iq2,10500,76
76,low-iq2,10460,77
77,low-iq2,10440,78
78,low-iq2,10440,79
79,low-iq2,10440,80
80,low-iq2,10400,81
81,low-iq2,10480,82
82,low-iq2,10440,83
83,low-iq2,10400,84
84,low-iq2,10360,85
85,low-iq2,10320,86
86,low-iq2,10320,87
87,low-iq2,10280,88
88,low-iq2,10240,89
89,low-iq2,10200,90
90,low-iq2,10320,91
91,low-iq2,10280,92
92,low-iq2,10360,93
93,low-iq2,10320,94
94,low-iq2,10320,95
95,low-iq2,10320,96
96,low-iq2,10280,97
97,low-iq2,10400,98
98,low-iq2,10360,99
99,low-iq2,10320,100
100,low-iq2,10280,101
101,low-iq2,10260,102
102,low-iq2,10220,103
103,low-iq2,10220,104
104,low-iq2,10320,105
105,low-iq2,10300,106
106,low-iq2,10260,107
107,low-iq2,10220,108
108,low-iq2,10180,109
109,low-iq2,10140,110
110,low-iq2,10140,111
111,low-iq2,10140,112
112,low-iq2,10100,113
113,low-iq2,10060,114
114,low-iq2,10020,115
115,low-iq2,9980,116
116,low-iq2,9940,117
117,low-iq2,9900,118
118,low-iq2,9900,119
119,low-iq2,9860,120
120,low-iq2,9820,121
121,low-iq2,9900,122
122,low-iq2,9860,123
123,low-iq2,9860,124
124,low-iq2,9820,125
125,low-iq2,9800,126
126,low-iq2,9880,127
127,low-iq2,9840,128
128,low-iq2,9800,129
129,low-iq2,9760,130
130,low-iq2,9840,131
131,low-iq2,9840,132
132,low-iq2,9800,133
133,low-iq2,9760,134
134,low-iq2,9720,135
135,low-iq2,9720,136
136,low-iq2,9680,137
137,low-iq2,9640,138
138,low-iq2,9640,139
139,low-iq2,9640,140
140,low-iq2,9600,141
141,low-iq2,9720,142
142,low-iq2,9720,143
143,low-iq2,9680,144
144,low-iq2,9640,145
145,low-iq2,9600,146
146,low-iq2,9560,147
147,low-iq2,9520,148
148,low-iq2,9480,149
149,low-iq2,9440,150
150,low-iq2,9400,151
151,low-iq2,9400,152
152,low-iq2,9360,153
153,low-iq2,9320,154
154,low-iq2,9280,155
155,low-iq2,9360,156
156,low-iq2,9320,157
157,low-iq2,9280,158
158,low-iq2,9360,159
159,low-iq2,9360,160
160,low-iq2,9320,161
161,low-iq2,9280,162
162,low-iq2,9280,163
