,uuid,stack,round
0,low-iq,9960,1
1,low-iq,9920,2
2,low-iq,9900,3
3,low-iq,9900,4
4,low-iq,10020,5
5,low-iq,9980,6
6,low-iq,9960,7
7,low-iq,9920,8
8,low-iq,9880,9
9,low-iq,9840,10
10,low-iq,9820,11
11,low-iq,9820,12
12,low-iq,9780,13
13,low-iq,9740,14
14,low-iq,9700,15
15,low-iq,9820,16
16,low-iq,9820,17
17,low-iq,9780,18
18,low-iq,9760,19
19,low-iq,9840,20
20,low-iq,9800,21
21,low-iq,9760,22
22,low-iq,9720,23
23,low-iq,9800,24
24,low-iq,9920,25
25,low-iq,10000,26
26,low-iq,9960,27
27,low-iq,10040,28
28,low-iq,10160,29
29,low-iq,10120,30
30,low-iq,10080,31
31,low-iq,10200,32
32,low-iq,10160,33
33,low-iq,10120,34
34,low-iq,10200,35
35,low-iq,10160,36
36,low-iq,10160,37
37,low-iq,10280,38
38,low-iq,10240,39
39,low-iq,10240,40
40,low-iq,10200,41
41,low-iq,10160,42
42,low-iq,10280,43
43,low-iq,10280,44
44,low-iq,10240,45
45,low-iq,10340,46
46,low-iq,10460,47
47,low-iq,10420,48
48,low-iq,10420,49
49,low-iq,10380,50
50,low-iq,10460,51
51,low-iq,10420,52
52,low-iq,10380,53
53,low-iq,10340,54
54,low-iq,10320,55
55,low-iq,10320,56
56,low-iq,10280,57
57,low-iq,10360,58
58,low-iq,10320,59
59,low-iq,10280,60
60,low-iq,10240,61
61,low-iq,10200,62
62,low-iq,10180,63
63,low-iq,10140,64
64,low-iq,10240,65
65,low-iq,10200,66
66,low-iq,10160,67
67,low-iq,10240,68
68,low-iq,10200,69
69,low-iq,10160,70
70,low-iq,10120,71
71,low-iq,10080,72
72,low-iq,10040,73
73,low-iq,10000,74
74,low-iq,9960,75
75,low-iq,10040,76
76,low-iq,10000,77
77,low-iq,10060,78
78,low-iq,10040,79
79,low-iq,10040,80
80,low-iq,10040,81
81,low-iq,10160,82
82,low-iq,10120,83
83,low-iq,10120,84
84,low-iq,10120,85
