,uuid,stack,round
0,low-iq,9960,1
1,low-iq,9920,2
2,low-iq,9900,3
3,low-iq,9860,4
4,low-iq,9920,5
5,low-iq,9940,6
6,low-iq,9920,7
7,low-iq,9880,8
8,low-iq,9880,9
9,low-iq,9840,10
10,low-iq,9820,11
11,low-iq,9780,12
12,low-iq,9780,13
13,low-iq,9740,14
14,low-iq,9700,15
15,low-iq,9780,16
16,low-iq,9780,17
17,low-iq,9740,18
18,low-iq,9720,19
19,low-iq,9720,20
20,low-iq,9720,21
21,low-iq,9680,22
22,low-iq,9720,23
23,low-iq,9680,24
24,low-iq,9640,25
25,low-iq,9600,26
26,low-iq,9640,27
27,low-iq,9700,28
28,low-iq,9700,29
29,low-iq,9660,30
30,low-iq,9640,31
31,low-iq,9640,32
32,low-iq,9640,33
33,low-iq,9600,34
34,low-iq,9580,35
35,low-iq,9580,36
36,low-iq,9680,37
37,low-iq,9640,38
38,low-iq,9620,39
39,low-iq,9680,40
40,low-iq,9640,41
41,low-iq,9600,42
42,low-iq,9720,43
43,low-iq,9720,44
44,low-iq,9720,45
45,low-iq,9680,46
46,low-iq,9660,47
47,low-iq,9660,48
48,low-iq,9660,49
49,low-iq,9620,50
50,low-iq,9600,51
51,low-iq,9600,52
52,low-iq,9600,53
53,low-iq,9660,54
54,low-iq,9640,55
55,low-iq,9640,56
56,low-iq,9640,57
57,low-iq,9600,58
58,low-iq,9560,59
59,low-iq,9560,60
60,low-iq,9520,61
61,low-iq,9540,62
62,low-iq,9500,63
63,low-iq,9500,64
64,low-iq,9500,65
65,low-iq,9520,66
66,low-iq,9500,67
67,low-iq,9500,68
68,low-iq,9500,69
69,low-iq,9520,70
70,low-iq,9480,71
71,low-iq,9480,72
72,low-iq,9480,73
73,low-iq,9500,74
74,low-iq,9480,75
75,low-iq,9480,76
76,low-iq,9480,77
77,low-iq,9440,78
78,low-iq,9420,79
79,low-iq,9420,80
80,low-iq,9380,81
81,low-iq,9340,82
82,low-iq,9320,83
83,low-iq,9320,84
84,low-iq,9420,85
