,uuid,stack,round
0,high-iq,10000,1
1,high-iq,9960,2
2,high-iq,10080,3
3,high-iq,10160,4
4,high-iq,10120,5
5,high-iq,10080,6
6,high-iq,10040,7
7,high-iq,10000,8
8,high-iq,10000,9
9,high-iq,9960,10
10,high-iq,9920,11
11,high-iq,9880,12
12,high-iq,9980,13
13,high-iq,10060,14
14,high-iq,10180,15
15,high-iq,10140,16
16,high-iq,10260,17
17,high-iq,10380,18
18,high-iq,10340,19
19,high-iq,10460,20
20,high-iq,10420,21
21,high-iq,10500,22
22,high-iq,10460,23
23,high-iq,10420,24
24,high-iq,10380,25
25,high-iq,10340,26
26,high-iq,10300,27
27,high-iq,10260,28
28,high-iq,10260,29
29,high-iq,10220,30
30,high-iq,10180,31
31,high-iq,10140,32
32,high-iq,10260,33
33,high-iq,10260,34
34,high-iq,10220,35
35,high-iq,10200,36
36,high-iq,10160,37
37,high-iq,10120,38
38,high-iq,10080,39
39,high-iq,10040,40
40,high-iq,10040,41
41,high-iq,10000,42
42,high-iq,10040,43
43,high-iq,10000,44
44,high-iq,9960,45
45,high-iq,9920,46
46,high-iq,10000,47
47,high-iq,9960,48
48,high-iq,9920,49
49,high-iq,9980,50
50,high-iq,9940,51
51,high-iq,9900,52
52,high-iq,9860,53
53,high-iq,9960,54
54,high-iq,9920,55
55,high-iq,9960,56
56,high-iq,9960,57
57,high-iq,9920,58
58,high-iq,9880,59
59,high-iq,9840,60
60,high-iq,9940,61
61,high-iq,9900,62
62,high-iq,9860,63
63,high-iq,9820,64
64,high-iq,9780,65
65,high-iq,9740,66
66,high-iq,9700,67
67,high-iq,9660,68
68,high-iq,9620,69
69,high-iq,9580,70
70,high-iq,9540,71
71,high-iq,9500,72
72,high-iq,9460,73
73,high-iq,9540,74
74,high-iq,9620,75
75,high-iq,9580,76
76,high-iq,9540,77
77,high-iq,9500,78
78,high-iq,9460,79
79,high-iq,9420,80
80,high-iq,9380,81
81,high-iq,9340,82
82,high-iq,9460,83
83,high-iq,9420,84
84,high-iq,9380,85
85,high-iq,9380,86
86,high-iq,9500,87
87,high-iq,9460,88
88,high-iq,9460,89
89,high-iq,9420,90
90,high-iq,9380,91
91,high-iq,9340,92
92,high-iq,9300,93
93,high-iq,9260,94
94,high-iq,9220,95
95,high-iq,9180,96
96,high-iq,9140,97
97,high-iq,9140,98
98,high-iq,9100,99
99,high-iq,9060,100
100,high-iq,9020,101
101,high-iq,8980,102
102,high-iq,8940,103
103,high-iq,8900,104
104,high-iq,8900,105
105,high-iq,8860,106
106,high-iq,8820,107
107,high-iq,8780,108
108,high-iq,8860,109
109,high-iq,8820,110
110,high-iq,8780,111
111,high-iq,8740,112
112,high-iq,8740,113
113,high-iq,8740,114
114,high-iq,8700,115
115,high-iq,8660,116
116,high-iq,8620,117
117,high-iq,8580,118
118,high-iq,8540,119
119,high-iq,8500,120
120,high-iq,8500,121
121,high-iq,8600,122
122,high-iq,8560,123
123,high-iq,8520,124
124,high-iq,8480,125
125,high-iq,8560,126
126,high-iq,8520,127
127,high-iq,8480,128
128,high-iq,8560,129
129,high-iq,8520,130
130,high-iq,8600,131
131,high-iq,8560,132
132,high-iq,8680,133
133,high-iq,8680,134
134,high-iq,8640,135
135,high-iq,8600,136
136,high-iq,8680,137
137,high-iq,8800,138
138,high-iq,8760,139
139,high-iq,8720,140
140,high-iq,8800,141
141,high-iq,8920,142
142,high-iq,8880,143
143,high-iq,8840,144
144,high-iq,8800,145
145,high-iq,8800,146
146,high-iq,8760,147
147,high-iq,8720,148
148,high-iq,8680,149
149,high-iq,8640,150
150,high-iq,8740,151
151,high-iq,8700,152
152,high-iq,8820,153
153,high-iq,8820,154
154,high-iq,8780,155
155,high-iq,8820,156
156,high-iq,8780,157
157,high-iq,8780,158
158,high-iq,8740,159
159,high-iq,8860,160
160,high-iq,8860,161
161,high-iq,8820,162
162,high-iq,8840,163
163,high-iq,8800,164
164,high-iq,8760,165
165,high-iq,8720,166
166,high-iq,8680,167
167,high-iq,8640,168
168,high-iq,8640,169
169,high-iq,8640,170
170,high-iq,8760,171
171,high-iq,8720,172
172,high-iq,8680,173
173,high-iq,8740,174
174,high-iq,8700,175
175,high-iq,8660,176
176,high-iq,8760,177
177,high-iq,8720,178
178,high-iq,8780,179
179,high-iq,8760,180
180,high-iq,8880,181
181,high-iq,8840,182
182,high-iq,8960,183
183,high-iq,9040,184
184,high-iq,9000,185
185,high-iq,8960,186
186,high-iq,8980,187
187,high-iq,8960,188
188,high-iq,9080,189
189,high-iq,9080,190
190,high-iq,9160,191
191,high-iq,9120,192
192,high-iq,9220,193
193,high-iq,9180,194
194,high-iq,9140,195
195,high-iq,9100,196
196,high-iq,9060,197
197,high-iq,9020,198
198,high-iq,8980,199
199,high-iq,9100,200
200,high-iq,9220,201
201,high-iq,9280,202
202,high-iq,9240,203
203,high-iq,9220,204
204,high-iq,9320,205
205,high-iq,9380,206
206,high-iq,9420,207
207,high-iq,9380,208
208,high-iq,9340,209
209,high-iq,9300,210
210,high-iq,9260,211
211,high-iq,9240,212
212,high-iq,9240,213
213,high-iq,9240,214
214,high-iq,9200,215
215,high-iq,9180,216
216,high-iq,9140,217
217,high-iq,9240,218
218,high-iq,9200,219
219,high-iq,9160,220
220,high-iq,9120,221
221,high-iq,9180,222
222,high-iq,9140,223
223,high-iq,9100,224
224,high-iq,9200,225
225,high-iq,9160,226
226,high-iq,9120,227
227,high-iq,9240,228
228,high-iq,9320,229
229,high-iq,9320,230
230,high-iq,9280,231
231,high-iq,9240,232
232,high-iq,9240,233
233,high-iq,9200,234
234,high-iq,9280,235
235,high-iq,9320,236
236,high-iq,9280,237
237,high-iq,9360,238
238,high-iq,9320,239
239,high-iq,9280,240
240,high-iq,9240,241
241,high-iq,9240,242
242,high-iq,9360,243
243,high-iq,9340,244
244,high-iq,9400,245
245,high-iq,9360,246
246,high-iq,9480,247
247,high-iq,9460,248
248,high-iq,9560,249
249,high-iq,9520,250
250,high-iq,9480,251
251,high-iq,9440,252
252,high-iq,9560,253
253,high-iq,9520,254
254,high-iq,9480,255
255,high-iq,9440,256
256,high-iq,9440,257
257,high-iq,9400,258
258,high-iq,9360,259
259,high-iq,9480,260
260,high-iq,9600,261
261,high-iq,9720,262
262,high-iq,9680,263
263,high-iq,9640,264
264,high-iq,9640,265
265,high-iq,9600,266
266,high-iq,9720,267
267,high-iq,9680,268
268,high-iq,9800,269
269,high-iq,9760,270
270,high-iq,9720,271
271,high-iq,9800,272
272,high-iq,9760,273
273,high-iq,9840,274
274,high-iq,9800,275
275,high-iq,9760,276
276,high-iq,9860,277
277,high-iq,9980,278
278,high-iq,10100,279
279,high-iq,10180,280
280,high-iq,10180,281
281,high-iq,10180,282
282,high-iq,10240,283
283,high-iq,10320,284
284,high-iq,10440,285
285,high-iq,10400,286
286,high-iq,10480,287
287,high-iq,10460,288
288,high-iq,10460,289
289,high-iq,10540,290
290,high-iq,10500,291
291,high-iq,10480,292
292,high-iq,10440,293
293,high-iq,10400,294
294,high-iq,10520,295
295,high-iq,10480,296
296,high-iq,10440,297
297,high-iq,10400,298
298,high-iq,10420,299
299,high-iq,10400,300
300,high-iq,10460,301
301,high-iq,10560,302
302,high-iq,10520,303
303,high-iq,10480,304
304,high-iq,10600,305
305,high-iq,10560,306
306,high-iq,10520,307
307,high-iq,10500,308
308,high-iq,10460,309
309,high-iq,10420,310
310,high-iq,10500,311
311,high-iq,10620,312
312,high-iq,10620,313
313,high-iq,10720,314
314,high-iq,10680,315
315,high-iq,10660,316
316,high-iq,10740,317
317,high-iq,10800,318
318,high-iq,10840,319
319,high-iq,10820,320
320,high-iq,10780,321
321,high-iq,10740,322
322,high-iq,10700,323
323,high-iq,10820,324
324,high-iq,10940,325
325,high-iq,11060,326
326,high-iq,11020,327
327,high-iq,10980,328
328,high-iq,10980,329
329,high-iq,11100,330
330,high-iq,11060,331
331,high-iq,11180,332
332,high-iq,11140,333
333,high-iq,11100,334
334,high-iq,11220,335
335,high-iq,11180,336
336,high-iq,11260,337
337,high-iq,11220,338
338,high-iq,11180,339
339,high-iq,11300,340
340,high-iq,11420,341
341,high-iq,11380,342
342,high-iq,11460,343
343,high-iq,11580,344
344,high-iq,11700,345
345,high-iq,11660,346
346,high-iq,11620,347
347,high-iq,11580,348
348,high-iq,11700,349
349,high-iq,11660,350
350,high-iq,11620,351
351,high-iq,11580,352
352,high-iq,11540,353
353,high-iq,11660,354
354,high-iq,11740,355
355,high-iq,11820,356
356,high-iq,11780,357
357,high-iq,11740,358
358,high-iq,11700,359
359,high-iq,11680,360
360,high-iq,11640,361
361,high-iq,11720,362
362,high-iq,11840,363
363,high-iq,11800,364
364,high-iq,11760,365
365,high-iq,11720,366
366,high-iq,11820,367
367,high-iq,11780,368
368,high-iq,11900,369
369,high-iq,12020,370
370,high-iq,11980,371
371,high-iq,11960,372
372,high-iq,11920,373
373,high-iq,12040,374
374,high-iq,12120,375
375,high-iq,12080,376
376,high-iq,12180,377
377,high-iq,12300,378
378,high-iq,12260,379
379,high-iq,12380,380
380,high-iq,12340,381
381,high-iq,12300,382
382,high-iq,12260,383
383,high-iq,12220,384
384,high-iq,12180,385
385,high-iq,12300,386
386,high-iq,12260,387
387,high-iq,12220,388
388,high-iq,12300,389
389,high-iq,12260,390
390,high-iq,12220,391
391,high-iq,12180,392
392,high-iq,12140,393
393,high-iq,12100,394
394,high-iq,12060,395
395,high-iq,12020,396
396,high-iq,12080,397
397,high-iq,12080,398
398,high-iq,12040,399
399,high-iq,12000,400
400,high-iq,11960,401
401,high-iq,12040,402
402,high-iq,12000,403
403,high-iq,11960,404
404,high-iq,12060,405
405,high-iq,12160,406
406,high-iq,12120,407
407,high-iq,12080,408
408,high-iq,12040,409
409,high-iq,12000,410
410,high-iq,11960,411
411,high-iq,11920,412
412,high-iq,11880,413
413,high-iq,11840,414
414,high-iq,11800,415
415,high-iq,11760,416
416,high-iq,11880,417
417,high-iq,11840,418
418,high-iq,11800,419
419,high-iq,11880,420
420,high-iq,11880,421
421,high-iq,11840,422
422,high-iq,11960,423
423,high-iq,11940,424
424,high-iq,11900,425
425,high-iq,11860,426
426,high-iq,11820,427
427,high-iq,11780,428
428,high-iq,11780,429
429,high-iq,11740,430
430,high-iq,11700,431
431,high-iq,11660,432
432,high-iq,11620,433
433,high-iq,11700,434
434,high-iq,11740,435
435,high-iq,11700,436
436,high-iq,11660,437
437,high-iq,11660,438
438,high-iq,11620,439
439,high-iq,11580,440
440,high-iq,11540,441
441,high-iq,11500,442
442,high-iq,11460,443
443,high-iq,11420,444
444,high-iq,11540,445
445,high-iq,11500,446
446,high-iq,11460,447
447,high-iq,11420,448
448,high-iq,11420,449
449,high-iq,11380,450
450,high-iq,11480,451
451,high-iq,11440,452
452,high-iq,11400,453
453,high-iq,11400,454
454,high-iq,11480,455
455,high-iq,11440,456
456,high-iq,11400,457
457,high-iq,11520,458
458,high-iq,11480,459
459,high-iq,11440,460
460,high-iq,11440,461
461,high-iq,11520,462
462,high-iq,11480,463
463,high-iq,11440,464
464,high-iq,11400,465
465,high-iq,11360,466
466,high-iq,11320,467
467,high-iq,11300,468
468,high-iq,11260,469
469,high-iq,11220,470
470,high-iq,11180,471
471,high-iq,11260,472
472,high-iq,11320,473
473,high-iq,11420,474
474,high-iq,11540,475
475,high-iq,11500,476
476,high-iq,11460,477
477,high-iq,11420,478
478,high-iq,11380,479
479,high-iq,11500,480
480,high-iq,11460,481
481,high-iq,11460,482
482,high-iq,11420,483
483,high-iq,11540,484
484,high-iq,11540,485
485,high-iq,11540,486
486,high-iq,11600,487
487,high-iq,11560,488
488,high-iq,11620,489
489,high-iq,11620,490
490,high-iq,11580,491
491,high-iq,11700,492
492,high-iq,11660,493
493,high-iq,11760,494
494,high-iq,11720,495
495,high-iq,11700,496
496,high-iq,11820,497
497,high-iq,11780,498
498,high-iq,11740,499
499,high-iq,11720,500
500,high-iq,11680,501
501,high-iq,11640,502
502,high-iq,11600,503
503,high-iq,11560,504
504,high-iq,11680,505
505,high-iq,11640,506
506,high-iq,11660,507
507,high-iq,11620,508
508,high-iq,11620,509
509,high-iq,11580,510
510,high-iq,11540,511
511,high-iq,11500,512
512,high-iq,11460,513
513,high-iq,11420,514
514,high-iq,11380,515
515,high-iq,11340,516
516,high-iq,11300,517
517,high-iq,11400,518
518,high-iq,11500,519
519,high-iq,11620,520
520,high-iq,11720,521
521,high-iq,11680,522
522,high-iq,11640,523
523,high-iq,11600,524
524,high-iq,11560,525
525,high-iq,11520,526
526,high-iq,11480,527
527,high-iq,11460,528
528,high-iq,11580,529
529,high-iq,11540,530
530,high-iq,11500,531
531,high-iq,11480,532
532,high-iq,11560,533
533,high-iq,11640,534
534,high-iq,11600,535
535,high-iq,11560,536
536,high-iq,11520,537
537,high-iq,11520,538
538,high-iq,11480,539
539,high-iq,11520,540
540,high-iq,11480,541
541,high-iq,11600,542
542,high-iq,11560,543
543,high-iq,11680,544
544,high-iq,11740,545
545,high-iq,11740,546
546,high-iq,11860,547
547,high-iq,11820,548
548,high-iq,11940,549
549,high-iq,12040,550
550,high-iq,12140,551
551,high-iq,12120,552
552,high-iq,12080,553
